k,threads_compute,threads_io,file_size_gb,write_batch_mb,read_batch,storage_efficiency_pct,overall_io_throughput_mb_s,total_time_s,total_time_min,peak_memory_mb,total_throughput_mh_s
27,8,1,1.0,512,1,99.99,169.74,73.584928,1.23,2817.76,1.82
28,8,1,2.0,1024,1,100.00,169.06,128.938418,2.15,4353.61,2.08
29,8,1,4.0,1024,1,99.99,175.85,255.023687,4.25,7425.91,2.11
30,8,1,8.0,1024,1,99.99,215.38,488.011540,8.13,13569.61,2.20
31,8,1,16.0,1024,1,99.99,241.81,874.772438,14.58,25857.91,2.45
32,8,1,32.0,1024,1,198.90,243.14,2297.764869,38.30,25537.56,1.87
