----Run 1 for K=33, memory=4096 MB----
Linux 6.1.43-rockchip-rk3588 (orangepi5plus) 	07/03/2025 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:53:03 AM  1001     33331   21.00   72.00    0.00    0.00   93.00     4 499252.00      6.00 3128904 1998828   6.14     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:53:04 AM  1001     33331   23.00   78.00    0.00    0.00  101.00     4 612148.00      0.00 5354820 4447428  13.66     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:53:05 AM  1001     33331   26.00   73.00    0.00    0.00   99.00     4 616163.00      0.00 7595520 6912132  21.24     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:53:06 AM  1001     33331   25.00   75.00    0.00    0.00  100.00     4 616875.00      0.00 9838596 9379476  28.82     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:53:07 AM  1001     33331   25.00   75.00    0.00    0.00  100.00     4 617400.00      0.00 12083784 11849196  36.41     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:53:08 AM  1001     33331   26.00   74.00    0.00    0.00  100.00     4 614923.00      0.00 14319864 14308884  43.96     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:53:09 AM  1001     33331  641.00    4.00    0.00    0.00  645.00     4  27784.00      0.00 14478636 14419764  44.30     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:53:10 AM  1001     33331  802.00    0.00    0.00    0.00  802.00     4      0.00      0.00 14478636 14419764  44.30     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:53:11 AM  1001     33331  799.00    1.00    0.00    0.00  800.00     4      0.00      0.00 14478636 14419764  44.30     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:53:12 AM  1001     33331  800.00    0.00    0.00    0.00  800.00     4      0.00      0.00 14478636 14419764  44.30     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:53:13 AM  1001     33331  799.00    0.00    0.00    0.00  799.00     4      0.00      0.00 14478636 14419764  44.30     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:53:14 AM  1001     33331  800.00    0.00    0.00    0.00  800.00     4      0.00      0.00 14478636 14419764  44.30     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:53:15 AM  1001     33331  800.00    0.00    0.00    0.00  800.00     4      0.00      0.00 14478636 14419764  44.30     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:53:16 AM  1001     33331  799.00    0.00    0.00    0.00  799.00     4      0.00      0.00 14478636 14419764  44.30     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:53:17 AM  1001     33331  800.00    0.00    0.00    0.00  800.00     4      0.00      0.00 14478636 14419764  44.30     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:53:18 AM  1001     33331  800.00    0.00    0.00    0.00  800.00     4      0.00      0.00 14478636 14419764  44.30     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:53:19 AM  1001     33331  800.00    0.00    0.00    0.00  800.00     4      0.00      0.00 14478636 14419764  44.30     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:53:20 AM  1001     33331  799.00    0.00    0.00    0.00  799.00     4      0.00      0.00 14478636 14419764  44.30     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:53:21 AM  1001     33331  800.00    0.00    0.00    0.00  800.00     4      0.00      0.00 14478636 14419764  44.30     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:53:22 AM  1001     33331  799.00    0.00    0.00    0.00  799.00     4      0.00      0.00 14478636 14419764  44.30     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:53:23 AM  1001     33331  800.00    0.00    0.00    0.00  800.00     4      0.00      0.00 14478636 14419764  44.30     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:53:24 AM  1001     33331  800.00    0.00    0.00    0.00  800.00     4      0.00      0.00 14478636 14419764  44.30     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:53:25 AM  1001     33331  800.00    0.00    0.00    0.00  800.00     4      0.00      0.00 14478636 14419764  44.30     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:53:26 AM  1001     33331  799.00    0.00    0.00    1.00  799.00     4      0.00      0.00 14478636 14419764  44.30     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:53:27 AM  1001     33331  800.00    0.00    0.00    0.00  800.00     4      0.00      0.00 14478636 14419764  44.30     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:53:28 AM  1001     33331  799.00    0.00    0.00    0.00  799.00     4      0.00      0.00 14478636 14419764  44.30     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:53:29 AM  1001     33331  800.00    0.00    0.00    0.00  800.00     4      0.00      0.00 14478636 14419764  44.30     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:53:30 AM  1001     33331  799.00    0.00    0.00    1.00  799.00     4      0.00      0.00 14478636 14419764  44.30     -1.00     -1.00     -1.00       0  vaultx

