Selected Approach           : for
Number of Threads           : 1
Number of Threads I/O       : 1
Exponent k                  : 32
Threads (Hash/Sort)         : 1
Threads (I/O)               : 1
Table1 Size (GB)            : 0.0
Table2 Size (GB)            : 0.0
Max Memory Size (GB)        : 2.0
Expected Memory Size (GB)   : 1.6
Number of Hashes (Disk)     : 4294967296
File Size (GB)              : 0.0
Temporary Data Size (GB)    : 0
Size of MemoRecord          : 4
Rounds                      : 1
Number of Buckets           : 1
Number of Records in Bucket : 1
BATCH_SIZE                  : 1024
WRITE_BATCH_SIZE            : 1024
READ_BATCH_SIZE             : 1024
HASHGEN                     : false
MEMORY_WRITE                : true
CIRCULAR_ARRAY              : false
FULL_BUCKETS                : false
Peak Memory Usage: 2.11 MB
Memory Size per Batch: 256MB
Buckets processed from each file per batch: 32768
Bucket size: 2048 bytes
Data read from each file per batch: 64.00MB

Total Batches: 512
Merge Approach [0]: Pipelined
Source: /data-l/iraicu/tmp/
Destination: /data-r/iraicu/vaults/
Threads: 1
Files: 4, K32
Memory Limit: 483544MB


posix_fallocate (137438953616 bytes) took 0.865 seconds


[0.20%] | Read: 1.4686s | Write: 0.2225s | Batch Time: 1.691053s | Total Time: 1.69s | ETA: 864.13s | Throughput: 151.38 MB/s
[0.39%] | Read: 1.3249s | Write: 0.2236s | Batch Time: 1.548460s | Total Time: 3.24s | ETA: 826.08s | Throughput: 165.33 MB/s
[0.59%] | Read: 1.2944s | Write: 0.2188s | Batch Time: 1.513193s | Total Time: 4.75s | ETA: 806.38s | Throughput: 169.18 MB/s
[0.78%] | Read: 1.3139s | Write: 0.2182s | Batch Time: 1.532093s | Total Time: 6.28s | ETA: 798.17s | Throughput: 167.09 MB/s
[0.98%] | Read: 1.2954s | Write: 0.2216s | Batch Time: 1.516950s | Total Time: 7.80s | ETA: 791.10s | Throughput: 168.76 MB/s
[1.17%] | Read: 1.3224s | Write: 0.2215s | Batch Time: 1.543871s | Total Time: 9.35s | ETA: 788.15s | Throughput: 165.82 MB/s
[1.37%] | Read: 1.3061s | Write: 0.2244s | Batch Time: 1.530500s | Total Time: 10.88s | ETA: 784.64s | Throughput: 167.27 MB/s
[1.56%] | Read: 1.3108s | Write: 0.2210s | Batch Time: 1.531716s | Total Time: 12.41s | ETA: 781.70s | Throughput: 167.13 MB/s
[1.76%] | Read: 1.2975s | Write: 0.2235s | Batch Time: 1.520927s | Total Time: 13.93s | ETA: 778.47s | Throughput: 168.32 MB/s
[1.95%] | Read: 1.3119s | Write: 0.2199s | Batch Time: 1.531885s | Total Time: 15.46s | ETA: 776.13s | Throughput: 167.11 MB/s
[2.15%] | Read: 1.3075s | Write: 0.2200s | Batch Time: 1.527501s | Total Time: 16.99s | ETA: 773.74s | Throughput: 167.59 MB/s
[2.34%] | Read: 1.3075s | Write: 0.2196s | Batch Time: 1.527184s | Total Time: 18.52s | ETA: 771.48s | Throughput: 167.63 MB/s
[2.54%] | Read: 1.3072s | Write: 0.2191s | Batch Time: 1.526356s | Total Time: 20.04s | ETA: 769.30s | Throughput: 167.72 MB/s
[2.73%] | Read: 1.3075s | Write: 0.2236s | Batch Time: 1.531171s | Total Time: 21.57s | ETA: 767.38s | Throughput: 167.19 MB/s
[2.93%] | Read: 1.2965s | Write: 0.2199s | Batch Time: 1.516415s | Total Time: 23.09s | ETA: 765.03s | Throughput: 168.82 MB/s
