k,threads_compute,threads_io,file_size_gb,write_batch_mb,read_batch,storage_efficiency_pct,overall_io_throughput_mb_s,total_time_s,total_time_min,peak_memory_mb,total_throughput_mh_s
27,32,1,1.0,512,1,99.99,586.77,16.080948,0.27,2819.16,8.35
28,32,1,2.0,1024,1,100.00,748.10,27.719723,0.46,4355.03,9.68
29,32,1,4.0,1024,1,99.99,681.46,50.635631,0.84,7426.95,10.60
30,32,1,8.0,1024,1,99.99,690.64,97.814616,1.63,13571.12,10.98
31,32,1,16.0,1024,1,99.99,678.23,193.857040,3.23,25859.22,11.08
32,32,1,32.0,1024,1,99.94,632.68,389.899269,6.50,50435.36,11.02
