varying_threads,k,threads_compute,threads_io,file_size_gb,write_batch_mb,read_batch,storage_efficiency_pct,overall_io_throughput_mb_s,total_time_s,total_time_min,peak_memory_mb,total_throughput_mh_s
1,29,1,1,4.0,1024,1,199.16,843.70,789.452888,13.16,4034.53,0.68
2,29,2,1,4.0,1024,1,199.16,917.47,407.648320,6.79,4034.47,1.32
4,29,4,1,4.0,1024,1,199.16,895.66,243.448980,4.06,4034.71,2.21
8,29,8,1,4.0,1024,1,199.16,820.18,149.322790,2.49,4034.75,3.60
16,29,16,1,4.0,1024,1,199.16,775.47,101.825681,1.70,4034.81,5.27
32,29,32,1,4.0,1024,1,199.16,722.39,75.367525,1.26,4034.97,7.12
