memory_gb,k,threads_compute,threads_io,file_size_gb,write_batch_mb,read_batch,storage_efficiency_pct,overall_io_throughput_mb_s,total_time_s,total_time_min,peak_memory_mb,total_throughput_mh_s
2,32,32,1,32.0,128,1,6896.38,460.51,764.589262,12.74,16387.41,5.62
4,32,32,1,32.0,512,1,2552.26,784.10,555.120351,9.25,16387.21,7.74
8,32,32,1,32.0,1024,1,753.46,987.76,501.801065,8.36,16387.32,8.56
16,32,32,1,32.0,1024,1,390.98,983.39,503.472339,8.39,16387.22,8.53
24,32,32,1,32.0,1024,1,390.98,981.71,511.518212,8.53,16387.41,8.40
32,32,32,1,32.0,1024,1,198.90,902.21,535.144412,8.92,25539.26,8.03
60,32,32,1,32.0,1024,1,99.94,630.13,388.076625,6.47,50435.41,11.07
