APPROACH,K,sizeof(MemoRecord),num_threads,MEMORY_SIZE(MB),file_size(GB),BATCH_SIZE,total_throughput(MH/s),total_throughput(MB/s),elapsed_time_hash_total,elapsed_time_hash2_total,elapsed_time_io_total,elapsed_time_shuffle_total,other_time,elapsed_time,storage_efficiency
for,36,5,64,1280,320.00,1024,4.24,21.22,1132.00,1666.65,6061.49,0.00,8999.18,16192.68,78.36%
for,36,5,64,20480,320.00,1024,4.94,24.72,1232.73,2063.38,3568.50,0.00,9098.98,13900.22,94.28%
