k,threads_compute,threads_io,file_size_gb,write_batch_mb,read_batch,storage_efficiency_pct,overall_io_throughput_mb_s,total_time_s,total_time_min,peak_memory_mb,total_throughput_mh_s
27,224,1,1.0,128,1,373.15,170.34,40.121360,0.67,1284.50,3.35
28,224,1,2.0,256,1,385.20,191.76,67.696988,1.13,1847.92,3.97
29,224,1,4.0,512,1,386.24,211.60,120.949334,2.02,2156.80,4.44
30,224,1,8.0,1024,1,391.06,241.21,215.977737,3.60,3926.12,4.97
31,224,1,16.0,1024,1,392.41,283.28,384.276606,6.40,6753.91,5.59
32,224,1,32.0,1024,1,390.99,340.92,678.017796,11.30,12897.67,6.33
