k,threads_compute,threads_io,file_size_gb,write_batch_mb,read_batch,storage_efficiency_pct,overall_io_throughput_mb_s,total_time_s,total_time_min,peak_memory_mb,total_throughput_mh_s
27,224,1,1.0,512,1,99.99,182.17,14.921007,0.25,2607.50,9.00
28,224,1,2.0,1024,1,100.00,171.63,27.445248,0.46,4158.00,9.78
29,224,1,4.0,1024,1,99.99,194.36,49.618116,0.83,7229.25,10.82
30,224,1,8.0,1024,1,99.99,204.69,92.768163,1.55,13389.25,11.57
31,224,1,16.0,1024,1,99.99,218.00,177.628322,2.96,25651.50,12.09
32,224,1,32.0,1024,1,99.94,234.01,363.687336,6.06,50246.00,11.81
