memory_gb,k,threads_compute,threads_io,file_size_gb,write_batch_mb,read_batch,storage_efficiency_pct,overall_io_throughput_mb_s,total_time_s,total_time_min,peak_memory_mb,total_throughput_mh_s
2,32,8,1,32.0,128,1,6896.59,222.15,2135.980111,35.60,16385.00,2.01
4,32,8,1,32.0,512,1,2552.33,322.94,2035.126523,33.92,16384.97,2.11
8,32,8,1,32.0,1024,1,753.46,270.04,2312.575665,38.54,16384.73,1.86
16,32,8,1,32.0,1024,1,390.98,261.37,2358.257029,39.30,16384.59,1.82
24,32,8,1,32.0,1024,1,390.99,259.51,2367.135475,39.45,16384.83,1.81
30,32,8,1,32.0,1024,1,198.90,245.18,2431.012114,40.52,25537.64,1.77
