k,threads_compute,threads_io,file_size_gb,write_batch_mb,read_batch,storage_efficiency_pct,overall_io_throughput_mb_s,total_time_s,total_time_min,peak_memory_mb,total_throughput_mh_s
27,64,1,1.0,128,1,373.15,285.36,27.514190,0.46,1411.25,4.88
28,64,1,2.0,256,1,385.22,300.19,46.887115,0.78,2051.55,5.73
29,64,1,4.0,512,1,386.23,310.33,83.143478,1.39,2339.50,6.46
30,64,1,8.0,1024,1,391.05,277.12,173.030483,2.88,4099.97,6.21
31,64,1,16.0,1024,1,392.40,319.48,304.302470,5.07,6947.98,7.06
32,64,1,32.0,1024,1,390.99,412.35,513.992765,8.57,13092.35,8.36
