memory_gb,k,threads_compute,threads_io,file_size_gb,write_batch_mb,read_batch,storage_efficiency_pct,overall_io_throughput_mb_s,total_time_s,total_time_min,peak_memory_mb,total_throughput_mh_s
2,32,16,1,32.0,128,1,6896.35,463.37,803.279106,13.39,16376.40,5.35
4,32,16,1,32.0,512,1,2552.34,609.26,661.688709,11.03,16374.23,6.49
8,32,16,1,32.0,1024,1,753.47,595.58,659.075266,10.98,16375.96,6.52
16,32,16,1,32.0,1024,1,390.98,602.71,661.260824,11.02,16374.97,6.50
24,32,16,1,32.0,1024,1,390.99,576.34,677.910741,11.30,16374.97,6.34
32,32,16,1,32.0,1024,1,198.90,482.46,735.242040,12.25,25527.48,5.84
71,32,16,1,32.0,1024,1,99.94,245.34,554.822445,9.25,50422.50,7.74
