varying_threads,k,threads_compute,threads_io,file_size_gb,write_batch_mb,read_batch,storage_efficiency_pct,overall_io_throughput_mb_s,total_time_s,total_time_min,peak_memory_mb,total_throughput_mh_s
1,29,1,1,4.0,1024,1,99.99,844.36,689.937640,11.50,7425.75,0.78
2,29,2,1,4.0,1024,1,99.99,770.79,351.702923,5.86,7425.75,1.53
4,29,4,1,4.0,1024,1,99.99,724.85,214.870484,3.58,7423.50,2.50
8,29,8,1,4.0,1024,1,99.99,768.81,114.157293,1.90,7421.25,4.70
16,29,16,1,4.0,1024,1,99.99,745.03,60.999284,1.02,7417.50,8.80
32,29,32,1,4.0,1024,1,99.99,818.56,36.601238,0.61,7407.00,14.67
64,29,64,1,4.0,1024,1,99.99,652.76,28.081814,0.47,7398.75,19.12
96,29,96,1,4.0,1024,1,99.99,820.48,23.627214,0.39,7391.25,22.72
