varying_threads,k,threads_compute,threads_io,file_size_gb,write_batch_mb,read_batch,storage_efficiency_pct,overall_io_throughput_mb_s,total_time_s,total_time_min,peak_memory_mb,total_throughput_mh_s
1,29,32,1,4.0,1024,1,99.99,665.43,38.245362,0.64,7414.50,14.04
2,29,32,2,4.0,1024,1,99.99,783.39,37.415105,0.62,7409.25,14.35
4,29,32,4,4.0,1024,1,99.99,756.43,36.913683,0.62,7410.75,14.54
8,29,32,8,4.0,1024,1,99.99,807.38,37.943267,0.63,7413.75,14.15
