k,threads_compute,threads_io,file_size_gb,write_batch_mb,read_batch,storage_efficiency_pct,overall_io_throughput_mb_s,total_time_s,total_time_min,peak_memory_mb,total_throughput_mh_s
27,96,1,1.0,256,1,198.80,72.72,70.846369,1.18,2013.16,1.89
28,96,1,2.0,512,1,199.40,99.38,98.842710,1.65,2465.52,2.72
29,96,1,4.0,1024,1,199.16,87.93,215.417622,3.59,4063.09,2.49
30,96,1,8.0,1024,1,199.45,81.83,450.995794,7.52,7072.95,2.38
31,96,1,16.0,1024,1,199.42,107.17,700.988765,11.68,13217.76,3.06
32,96,1,32.0,1024,1,198.90,175.45,917.309311,15.29,25507.06,4.68
