k,threads_compute,threads_io,file_size_gb,write_batch_mb,read_batch,storage_efficiency_pct,overall_io_throughput_mb_s,total_time_s,total_time_min,peak_memory_mb,total_throughput_mh_s
27,96,1,1.0,512,1,99.99,88.38,18.003757,0.30,2782.50,7.45
28,96,1,2.0,1024,1,100.00,92.67,31.850657,0.53,4321.50,8.43
29,96,1,4.0,1024,1,99.99,103.26,55.328341,0.92,7395.75,9.70
30,96,1,8.0,1024,1,99.99,100.24,110.871716,1.85,13536.00,9.68
31,96,1,16.0,1024,1,99.99,114.84,196.824487,3.28,25824.00,10.91
32,96,1,32.0,1024,1,99.94,81.89,507.194320,8.45,50399.25,8.47
