k,threads_compute,threads_io,file_size_gb,write_batch_mb,read_batch,storage_efficiency_pct,overall_io_throughput_mb_s,total_time_s,total_time_min,peak_memory_mb,total_throughput_mh_s
27,16,1,1.0,128,1,373.16,268.04,38.793036,0.65,1407.38,3.46
28,16,1,2.0,256,1,385.21,284.86,67.600088,1.13,1566.79,3.97
29,16,1,4.0,512,1,386.23,355.88,114.435213,1.91,2334.90,4.69
30,16,1,8.0,1024,1,391.05,336.53,228.489713,3.81,4093.07,4.70
31,16,1,16.0,1024,1,392.40,513.02,381.326166,6.36,8189.64,5.63
32,16,1,32.0,1024,1,390.99,484.41,768.205982,12.80,16381.34,5.59
