varying_threads,k,threads_compute,threads_io,file_size_gb,write_batch_mb,read_batch,storage_efficiency_pct,overall_io_throughput_mb_s,total_time_s,total_time_min,peak_memory_mb,total_throughput_mh_s,min_power_w,max_power_w,avg_power_w,total_energy_wh,total_energy_kwh
1,32,1,1,32.0,1024,1,99.94,147.82,8562.259085,142.70,50434.58,0.50,113,147,129,306.8050,0.306805
2,32,2,1,32.0,1024,1,99.94,281.72,4253.284098,70.89,50434.61,1.01,100,148,135,159.5250,0.159525
4,32,4,1,32.0,1024,1,99.94,324.21,2130.356268,35.51,50434.78,2.02,103,155,141,83.4250,0.083425
8,32,8,1,32.0,1024,1,99.94,329.01,1178.263259,19.64,50434.86,3.65,106,164,149,48.7561,0.048756
16,32,16,1,32.0,1024,1,99.94,374.88,673.813294,11.23,50435.01,6.37,102,177,159,29.7683,0.029768
32,32,32,1,32.0,1024,1,99.94,425.28,432.614021,7.21,50435.42,9.93,109,184,168,20.2067,0.020207
