varying_threads,k,threads_compute,threads_io,file_size_gb,write_batch_mb,read_batch,storage_efficiency_pct,overall_io_throughput_mb_s,total_time_s,total_time_min,peak_memory_mb,total_throughput_mh_s,min_power_w,max_power_w,avg_power_w,total_energy_wh,total_energy_kwh
1,32,1,1,32.0,1024,1,99.94,165.49,8609.187057,143.49,50434.05,0.50,121,154,131,313.2719,0.313272
2,32,2,1,32.0,1024,1,99.94,197.19,4433.936199,73.90,50434.64,0.97,116,143,133,163.8117,0.163812
4,32,4,1,32.0,1024,1,99.94,203.47,2070.645482,34.51,50427.31,2.07,120,149,141,81.1142,0.081114
8,32,8,1,32.0,1024,1,99.94,199.80,1233.094378,20.55,50434.77,3.48,121,156,145,49.6625,0.049662
16,32,16,1,32.0,1024,1,99.94,201.11,765.117133,12.75,50434.88,5.61,120,171,153,32.5550,0.032555
32,32,32,1,32.0,1024,1,99.94,201.96,516.718402,8.61,50435.54,8.31,120,184,155,22.2597,0.022260
