k,threads_compute,threads_io,file_size_gb,write_batch_mb,read_batch,storage_efficiency_pct,overall_io_throughput_mb_s,total_time_s,total_time_min,peak_memory_mb,total_throughput_mh_s
27,384,1,1.0,512,1,99.99,84.07,18.112957,0.30,2780.45,7.41
28,384,1,2.0,1024,1,100.00,95.89,28.527418,0.48,4312.53,9.41
29,384,1,4.0,1024,1,99.99,88.84,56.622792,0.94,7385.32,9.48
30,384,1,8.0,1024,1,99.99,98.02,100.385798,1.67,13578.18,10.70
31,384,1,16.0,1024,1,99.99,115.93,175.132983,2.92,25867.84,12.26
32,384,1,32.0,1024,1,99.94,130.16,309.871082,5.16,50445.18,13.86
