memory_gb,k,threads_compute,threads_io,file_size_gb,write_batch_mb,read_batch,storage_efficiency_pct,overall_io_throughput_mb_s,total_time_s,total_time_min,peak_memory_mb,total_throughput_mh_s
2,32,384,1,32.0,128,1,6896.48,511.09,572.027068,9.53,1415.29,7.51
2.5,32,384,1,32.0,256,1,4367.58,699.69,406.260910,6.77,2061.27,10.57
3,32,384,1,32.0,512,1,2552.34,878.65,311.070940,5.18,2209.32,13.81
5,32,384,1,32.0,1024,1,1413.00,717.95,311.432460,5.19,4061.79,13.79
8,32,384,1,32.0,1024,1,753.45,1172.11,235.756153,3.93,6877.22,18.22
14,32,384,1,32.0,1024,1,390.99,1010.01,253.476027,4.22,13101.42,16.94
26,32,384,1,32.0,1024,1,198.90,1048.57,272.246320,4.54,25549.22,15.78
50,32,384,1,32.0,1024,1,99.94,634.56,108.813140,1.81,50445.29,39.47
