----Run 1 for K=30, memory=4096 MB----
Linux 6.1.43-rockchip-rk3588 (orangepi5plus) 	07/02/2025 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
02:40:37 AM  1001     27515   11.00   64.00    0.00    0.00   75.00     4 288099.00      7.00 2361056 1154056   3.55     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
02:40:38 AM  1001     27515   22.00   77.00    0.00    0.00   99.00     4 614271.00      0.00 4594760 3611368  11.10     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
02:40:39 AM  1001     27515   28.00   73.00    0.00    0.00  101.00     4 622101.00      0.00 6856976 6099568  18.74     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
02:40:40 AM  1001     27515   25.00   75.00    0.00    0.00  100.00     4 618661.00      0.00 9106652 8574304  26.34     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
02:40:41 AM  1001     27515   28.00   72.00    0.00    0.00  100.00     4 610896.00      0.00 11328080 11017888  33.85     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
02:40:42 AM  1001     27515   24.00   75.00    0.00    0.00   99.00     4 607647.00      0.00 13537628 13448536  41.32     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
02:40:43 AM  1001     27515  363.00   28.00    0.00    0.00  391.00     4 242873.00      0.00 14478632 14419792  44.30     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
02:40:44 AM  1001     27515  799.00    0.00    0.00    0.00  799.00     4      0.00      0.00 14478632 14419792  44.30     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
02:40:45 AM  1001     27515  800.00    0.00    0.00    0.00  800.00     4      0.00      0.00 14478632 14419792  44.30     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
02:40:46 AM  1001     27515  800.00    0.00    0.00    0.00  800.00     4      0.00      0.00 14478632 14419792  44.30     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
02:40:47 AM  1001     27515  799.00    0.00    0.00    0.00  799.00     4      0.00      0.00 14478632 14419792  44.30     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
02:40:48 AM  1001     27515  800.00    1.00    0.00    0.00  801.00     4      0.00      0.00 14478632 14419792  44.30     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
02:40:49 AM  1001     27515  800.00    0.00    0.00    0.00  800.00     4      0.00      0.00 14478632 14419792  44.30     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
02:40:50 AM  1001     27515  799.00    0.00    0.00    0.00  799.00     4      0.00      0.00 14478632 14419792  44.30     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
02:40:51 AM  1001     27515  800.00    0.00    0.00    0.00  800.00     4      0.00      0.00 14478632 14419792  44.30     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
02:40:52 AM  1001     27515  799.00    0.00    0.00    0.00  799.00     4      0.00      0.00 14478632 14419792  44.30     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
02:40:53 AM  1001     27515  800.00    0.00    0.00    0.00  800.00     4      0.00      0.00 14478632 14419792  44.30     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
02:40:54 AM  1001     27515  800.00    0.00    0.00    1.00  800.00     4      0.00      0.00 14478632 14419792  44.30     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
02:40:55 AM  1001     27515  799.00    0.00    0.00    0.00  799.00     4      0.00      0.00 14478632 14419792  44.30     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
02:40:56 AM  1001     27515  800.00    0.00    0.00    0.00  800.00     4      0.00      0.00 14478632 14419792  44.30     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
02:40:57 AM  1001     27515  800.00    0.00    0.00    0.00  800.00     4      0.00      0.00 14478632 14419792  44.30     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
02:40:58 AM  1001     27515  799.00    0.00    0.00    0.00  799.00     4      0.00      0.00 14478632 14419792  44.30     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
02:40:59 AM  1001     27515  800.00    0.00    0.00    0.00  800.00     4      0.00      0.00 14478632 14419792  44.30     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
02:41:00 AM  1001     27515  800.00    0.00    0.00    0.00  800.00     4      0.00      0.00 14478632 14419792  44.30     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
02:41:01 AM  1001     27515  799.00    0.00    0.00    0.00  799.00     4      0.00      0.00 14478632 14419792  44.30     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
02:41:02 AM  1001     27515  800.00    0.00    0.00    0.00  800.00     4      0.00      0.00 14478632 14419792  44.30     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
02:41:03 AM  1001     27515  799.00    0.00    0.00    0.00  799.00     4      0.00      0.00 14478632 14419792  44.30     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
02:41:04 AM  1001     27515  800.00    0.00    0.00    0.00  800.00     4      0.00      0.00 14478632 14419792  44.30     -1.00     -1.00     -1.00       0  vaultx

