varying_threads,k,threads_compute,threads_io,file_size_gb,write_batch_mb,read_batch,storage_efficiency_pct,overall_io_throughput_mb_s,total_time_s,total_time_min,peak_memory_mb,total_throughput_mh_s
1,29,32,1,4.0,1024,1,99.99,436.60,60.877831,1.01,7427.09,8.82
2,29,32,2,4.0,1024,1,99.99,437.65,60.704281,1.01,7426.99,8.84
4,29,32,4,4.0,1024,1,99.99,405.99,61.120628,1.02,7427.17,8.78
8,29,32,8,4.0,1024,1,99.99,394.03,61.479215,1.02,7427.14,8.73
