k,threads_compute,threads_io,file_size_gb,write_batch_mb,read_batch,storage_efficiency_pct,overall_io_throughput_mb_s,total_time_s,total_time_min,peak_memory_mb,total_throughput_mh_s
27,16,1,1.0,512,1,99.99,498.82,30.678983,0.51,2818.70,4.37
28,16,1,2.0,1024,1,100.00,368.12,58.541670,0.98,4354.92,4.59
29,16,1,4.0,1024,1,99.99,368.13,107.014061,1.78,7426.83,5.02
30,16,1,8.0,1024,1,99.99,431.68,212.024379,3.53,13570.73,5.06
31,16,1,16.0,1024,1,99.99,481.94,405.837539,6.76,25858.90,5.29
32,16,1,32.0,1024,1,99.94,397.50,832.773376,13.88,50434.80,5.16
