k,threads_compute,threads_io,file_size_gb,write_batch_mb,read_batch,storage_efficiency_pct,overall_io_throughput_mb_s,total_time_s,total_time_min,peak_memory_mb,total_throughput_mh_s
27,16,1,1.0,128,1,373.18,490.44,44.956850,0.75,1410.77,2.99
28,16,1,2.0,256,1,385.23,580.97,74.968071,1.25,1570.82,3.58
29,16,1,4.0,512,1,386.24,618.09,124.365296,2.07,2338.93,4.32
30,16,1,8.0,1024,1,391.05,665.73,237.088227,3.95,4098.78,4.53
31,16,1,16.0,1024,1,392.40,860.35,452.449936,7.54,8194.97,4.75
32,16,1,32.0,1024,1,390.99,856.28,904.980236,15.08,16386.87,4.75
