varying_threads,k,threads_compute,threads_io,file_size_gb,write_batch_mb,read_batch,storage_efficiency_pct,overall_io_throughput_mb_s,total_time_s,total_time_min,peak_memory_mb,total_throughput_mh_s
1,29,1,1,4.0,512,1,386.24,750.36,841.478260,14.02,2338.41,0.64
2,29,2,1,4.0,512,1,386.23,595.71,441.060843,7.35,2338.69,1.22
4,29,4,1,4.0,512,1,386.24,720.12,272.739475,4.55,2338.72,1.97
8,29,8,1,4.0,512,1,386.23,559.23,182.563458,3.04,2338.78,2.94
16,29,16,1,4.0,512,1,386.24,569.66,128.130742,2.14,2338.70,4.19
32,29,32,1,4.0,512,1,386.24,600.51,89.228028,1.49,2339.15,6.02
64,29,64,1,4.0,512,1,386.24,581.40,69.567614,1.16,2339.54,7.72
96,29,96,1,4.0,512,1,386.24,612.19,63.346093,1.06,2340.14,8.48
128,29,128,1,4.0,512,1,386.23,585.24,61.944087,1.03,2340.52,8.67
