varying_threads,k,threads_compute,threads_io,file_size_gb,write_batch_mb,read_batch,storage_efficiency_pct,overall_io_throughput_mb_s,total_time_s,total_time_min,peak_memory_mb,total_throughput_mh_s
1,32,32,1,32.0,1024,1,99.94,477.87,449.854448,7.50,50435.34,9.55
2,32,32,2,32.0,1024,1,99.94,466.36,449.776511,7.50,50435.19,9.55
4,32,32,4,32.0,1024,1,99.94,503.87,441.836495,7.36,50435.42,9.72
8,32,32,8,32.0,1024,1,99.94,474.47,460.493312,7.67,50435.21,9.33
