k,threads_compute,threads_io,file_size_gb,write_batch_mb,read_batch,storage_efficiency_pct,overall_io_throughput_mb_s,total_time_s,total_time_min,peak_memory_mb,total_throughput_mh_s
27,96,1,1.0,512,1,99.99,403.52,8.964413,0.15,2783.25,14.97
28,96,1,2.0,1024,1,100.00,373.90,15.207195,0.25,4318.50,17.65
29,96,1,4.0,1024,1,99.99,379.56,26.496196,0.44,7392.00,20.26
30,96,1,8.0,1024,1,99.99,382.89,50.109699,0.84,13536.00,21.43
31,96,1,16.0,1024,1,99.99,371.60,98.556649,1.64,25821.00,21.79
32,96,1,32.0,1024,1,99.94,396.65,188.886222,3.15,50400.00,22.74
