memory_gb,k,threads_compute,threads_io,file_size_gb,write_batch_mb,read_batch,storage_efficiency_pct,overall_io_throughput_mb_s,total_time_s,total_time_min,peak_memory_mb,total_throughput_mh_s
2,32,8,1,32.0,128,1,6896.67,167.22,2182.712279,36.38,1409.64,1.97
2.5,32,8,1,32.0,256,1,4367.52,152.76,2279.416255,37.99,2049.80,1.88
3,32,8,1,32.0,512,1,2552.34,189.27,2216.306958,36.94,2197.77,1.94
5,32,8,1,32.0,1024,1,1413.02,194.67,2291.109703,38.19,4097.90,1.87
8,32,8,1,32.0,1024,1,753.45,181.50,2434.989394,40.58,6865.86,1.76
14,32,8,1,32.0,1024,1,390.99,139.15,2644.512925,44.08,13089.81,1.62
26,32,8,1,32.0,1024,1,198.90,132.14,2735.281109,45.59,25537.69,1.57
30,32,8,1,32.0,1024,1,198.90,129.63,2773.121989,46.22,25537.79,1.55
