varying_threads,k,threads_compute,threads_io,file_size_gb,write_batch_mb,read_batch,storage_efficiency_pct,overall_io_throughput_mb_s,total_time_s,total_time_min,peak_memory_mb,total_throughput_mh_s
1,29,32,1,4.0,1024,1,99.99,478.70,47.281516,0.79,7426.93,11.35
2,29,32,2,4.0,1024,1,99.99,718.69,44.796005,0.75,7427.10,11.98
4,29,32,4,4.0,1024,1,99.99,643.82,44.511010,0.74,7427.16,12.06
8,29,32,8,4.0,1024,1,99.99,734.67,44.995203,0.75,7426.98,11.93
