varying_threads,k,threads_compute,threads_io,file_size_gb,write_batch_mb,read_batch,storage_efficiency_pct,overall_io_throughput_mb_s,total_time_s,total_time_min,peak_memory_mb,total_throughput_mh_s
1,32,1,1,32.0,1024,1,390.99,1133.83,5062.683968,84.38,16386.54,0.85
2,32,2,1,32.0,1024,1,390.98,1131.03,2668.441191,44.47,16386.48,1.61
4,32,4,1,32.0,1024,1,390.99,1088.81,1503.538972,25.06,16386.64,2.86
8,32,8,1,32.0,1024,1,390.98,1093.56,1028.060902,17.13,16386.75,4.18
16,32,16,1,32.0,1024,1,390.98,1007.97,656.659941,10.94,16387.00,6.54
32,32,32,1,32.0,1024,1,390.98,1069.24,429.849408,7.16,16387.42,9.99
64,32,64,1,32.0,1024,1,390.99,1055.36,323.653687,5.39,16388.14,13.27
96,32,96,1,32.0,1024,1,390.98,977.80,304.715960,5.08,16388.88,14.09
128,32,128,1,32.0,1024,1,390.98,943.68,292.038762,4.87,16389.67,14.71
192,32,192,1,32.0,1024,1,390.98,985.88,277.732118,4.63,16391.22,15.46
256,32,256,1,32.0,1024,1,390.98,969.49,273.488602,4.56,16392.82,15.70
384,32,384,1,32.0,1024,1,390.98,984.55,258.373027,4.31,16395.88,16.62
