varying_threads,k,threads_compute,threads_io,file_size_gb,write_batch_mb,read_batch,storage_efficiency_pct,overall_io_throughput_mb_s,total_time_s,total_time_min,peak_memory_mb,total_throughput_mh_s
1,29,1,1,4.0,512,1,386.23,993.60,650.275381,10.84,2338.58,0.83
2,29,2,1,4.0,512,1,386.23,1022.99,340.504477,5.68,2338.50,1.58
4,29,4,1,4.0,512,1,386.24,1020.35,189.346697,3.16,2338.53,2.84
8,29,8,1,4.0,512,1,386.24,902.25,144.127966,2.40,2338.69,3.72
16,29,16,1,4.0,512,1,386.24,908.05,96.442300,1.61,2338.79,5.57
32,29,32,1,4.0,512,1,386.24,858.00,71.303796,1.19,2339.16,7.53
64,29,64,1,4.0,512,1,386.23,864.75,57.752247,0.96,2339.61,9.30
96,29,96,1,4.0,512,1,386.25,817.95,56.347715,0.94,2340.09,9.53
128,29,128,1,4.0,512,1,386.25,867.46,57.946118,0.97,2340.61,9.27
192,29,192,1,4.0,512,1,386.22,828.01,59.536630,0.99,2341.66,9.02
256,29,256,1,4.0,512,1,386.24,842.34,52.511919,0.88,2342.61,10.22
384,29,384,1,4.0,512,1,386.24,830.31,49.169541,0.82,2344.88,10.92
