varying_threads,k,threads_compute,threads_io,file_size_gb,write_batch_mb,read_batch,storage_efficiency_pct,overall_io_throughput_mb_s,total_time_s,total_time_min,peak_memory_mb,total_throughput_mh_s
1,29,1,1,4.0,1024,1,199.16,1031.19,700.247663,11.67,4034.47,0.77
2,29,2,1,4.0,1024,1,199.16,1042.56,353.991868,5.90,4034.62,1.52
4,29,4,1,4.0,1024,1,199.16,1035.30,207.549625,3.46,4034.53,2.59
8,29,8,1,4.0,1024,1,199.16,966.54,148.313330,2.47,4034.59,3.62
16,29,16,1,4.0,1024,1,199.16,930.87,95.174879,1.59,4034.89,5.64
32,29,32,1,4.0,1024,1,199.16,935.83,67.751541,1.13,4034.98,7.92
64,29,64,1,4.0,1024,1,199.16,973.77,53.327803,0.89,4035.50,10.07
96,29,96,1,4.0,1024,1,199.16,899.11,50.117752,0.84,4036.12,10.71
128,29,128,1,4.0,1024,1,199.16,923.67,46.372814,0.77,4036.62,11.58
192,29,192,1,4.0,1024,1,199.16,966.18,46.426697,0.77,4037.59,11.56
256,29,256,1,4.0,1024,1,199.16,909.56,48.853231,0.81,4038.79,10.99
384,29,384,1,4.0,1024,1,199.16,943.62,38.266017,0.64,3994.32,14.03
