k,threads_compute,threads_io,file_size_gb,write_batch_mb,read_batch,storage_efficiency_pct,overall_io_throughput_mb_s,total_time_s,total_time_min,peak_memory_mb,total_throughput_mh_s
27,32,1,1.0,512,1,99.99,270.41,27.848595,0.46,2818.96,4.82
28,32,1,2.0,1024,1,100.00,403.30,41.880185,0.70,4354.96,6.41
29,32,1,4.0,1024,1,99.99,337.38,64.502250,1.08,7427.09,8.32
30,32,1,8.0,1024,1,99.99,351.02,124.416739,2.07,13571.14,8.63
31,32,1,16.0,1024,1,99.99,411.50,220.015223,3.67,25859.26,9.76
32,32,1,32.0,1024,1,99.94,409.18,517.818792,8.63,50435.34,8.29
