varying_threads,k,threads_compute,threads_io,file_size_gb,write_batch_mb,read_batch,storage_efficiency_pct,overall_io_throughput_mb_s,total_time_s,total_time_min,peak_memory_mb,total_throughput_mh_s
1,32,1,1,32.0,1024,1,198.90,1088.32,5247.722550,87.46,25538.56,0.82
2,32,2,1,32.0,1024,1,198.90,1074.55,2821.687564,47.03,25538.52,1.52
4,32,4,1,32.0,1024,1,198.90,1098.26,1518.306551,25.31,25538.66,2.83
8,32,8,1,32.0,1024,1,198.90,999.13,1093.239471,18.22,25538.85,3.93
16,32,16,1,32.0,1024,1,198.90,1032.53,665.213131,11.09,25538.98,6.46
32,32,32,1,32.0,1024,1,198.90,1024.07,443.495826,7.39,25539.21,9.68
64,32,64,1,32.0,1024,1,198.90,1122.30,321.452583,5.36,25540.08,13.36
96,32,96,1,32.0,1024,1,198.90,1007.57,303.162408,5.05,25540.85,14.17
128,32,128,1,32.0,1024,1,198.90,1056.95,291.926791,4.87,25541.73,14.71
192,32,192,1,32.0,1024,1,198.90,1061.33,276.917043,4.62,25543.24,15.51
256,32,256,1,32.0,1024,1,198.90,1039.58,275.850517,4.60,25544.73,15.57
384,32,384,1,32.0,1024,1,198.90,1053.71,251.068795,4.18,25547.77,17.11
