k,threads_compute,threads_io,file_size_gb,write_batch_mb,read_batch,storage_efficiency_pct,overall_io_throughput_mb_s,total_time_s,total_time_min,peak_memory_mb,total_throughput_mh_s
27,32,1,1.0,128,1,373.16,204.37,45.417365,0.76,2050.82,2.96
28,32,1,2.0,256,1,385.21,208.55,75.370398,1.26,2051.10,3.56
29,32,1,4.0,512,1,386.24,274.72,117.809941,1.96,2339.04,4.56
30,32,1,8.0,1024,1,391.04,348.50,193.168901,3.22,4099.23,5.56
31,32,1,16.0,1024,1,392.41,393.18,339.293065,5.65,8195.09,6.33
32,32,1,32.0,1024,1,390.99,476.64,702.746126,11.71,13091.24,6.11
