varying_threads,k,threads_compute,threads_io,file_size_gb,write_batch_mb,read_batch,storage_efficiency_pct,overall_io_throughput_mb_s,total_time_s,total_time_min,peak_memory_mb,total_throughput_mh_s
1,32,32,1,32.0,1024,1,99.94,707.33,315.687657,5.26,50435.41,13.61
2,32,32,2,32.0,1024,1,99.94,625.59,317.948583,5.30,50435.39,13.51
4,32,32,4,32.0,1024,1,99.94,685.05,317.866481,5.30,50435.41,13.51
8,32,32,8,32.0,1024,1,99.94,764.99,308.118961,5.14,50435.22,13.94
