varying_threads,k,threads_compute,threads_io,file_size_gb,write_batch_mb,read_batch,storage_efficiency_pct,overall_io_throughput_mb_s,total_time_s,total_time_min,peak_memory_mb,total_throughput_mh_s
1,32,1,1,32.0,1024,1,198.90,1084.15,5245.323136,87.42,25538.49,0.82
2,32,2,1,32.0,1024,1,198.90,1054.26,2818.749128,46.98,25538.60,1.52
4,32,4,1,32.0,1024,1,198.90,1051.75,1552.692381,25.88,25538.54,2.77
8,32,8,1,32.0,1024,1,198.90,941.61,1122.681635,18.71,25538.83,3.83
16,32,16,1,32.0,1024,1,198.90,957.61,682.636352,11.38,25538.92,6.29
32,32,32,1,32.0,1024,1,198.90,1037.08,440.303701,7.34,25539.30,9.75
64,32,64,1,32.0,1024,1,198.90,1011.92,335.163076,5.59,25540.07,12.81
96,32,96,1,32.0,1024,1,198.90,1049.71,294.104289,4.90,25540.76,14.60
128,32,128,1,32.0,1024,1,198.90,1026.81,291.357592,4.86,25541.52,14.74
192,32,192,1,32.0,1024,1,198.90,1078.35,289.406785,4.82,25543.28,14.84
256,32,256,1,32.0,1024,1,198.90,1018.54,286.444937,4.77,25544.76,14.99
384,32,384,1,32.0,1024,1,198.90,958.46,288.569794,4.81,25547.76,14.88
