k,threads_compute,threads_io,file_size_gb,write_batch_mb,read_batch,storage_efficiency_pct,overall_io_throughput_mb_s,total_time_s,total_time_min,peak_memory_mb,total_throughput_mh_s
27,32,1,1.0,512,1,99.99,682.23,15.918451,0.27,2818.95,8.43
28,32,1,2.0,1024,1,100.00,763.39,25.906313,0.43,4355.07,10.36
29,32,1,4.0,1024,1,99.99,717.46,44.313679,0.74,7427.02,12.12
30,32,1,8.0,1024,1,99.99,642.55,83.463518,1.39,13571.17,12.86
31,32,1,16.0,1024,1,99.99,708.21,157.340559,2.62,25859.10,13.65
32,32,1,32.0,1024,1,99.94,721.50,312.298228,5.20,50435.27,13.75
