varying_threads,k,threads_compute,threads_io,file_size_gb,write_batch_mb,read_batch,storage_efficiency_pct,overall_io_throughput_mb_s,total_time_s,total_time_min,peak_memory_mb,total_throughput_mh_s
1,29,1,1,4.0,1024,1,99.99,778.95,693.776095,11.56,7426.28,0.77
2,29,2,1,4.0,1024,1,99.99,791.01,348.996128,5.82,7426.50,1.54
4,29,4,1,4.0,1024,1,99.99,839.47,184.098199,3.07,7426.70,2.92
8,29,8,1,4.0,1024,1,99.99,709.38,129.939151,2.17,7426.73,4.13
16,29,16,1,4.0,1024,1,99.99,494.35,75.023617,1.25,7426.86,7.16
32,29,32,1,4.0,1024,1,99.99,731.96,44.258543,0.74,7426.96,12.13
64,29,64,1,4.0,1024,1,99.99,676.82,29.981858,0.50,7427.50,17.91
96,29,96,1,4.0,1024,1,99.99,684.82,26.797359,0.45,7428.09,20.03
128,29,128,1,4.0,1024,1,99.99,706.07,27.685149,0.46,7428.59,19.39
192,29,192,1,4.0,1024,1,99.99,699.22,24.195041,0.40,7429.76,22.19
256,29,256,1,4.0,1024,1,99.99,609.20,17.965734,0.30,7430.60,29.88
384,29,384,1,4.0,1024,1,99.99,751.99,15.946766,0.27,7383.77,33.67
