k,threads_compute,threads_io,file_size_gb,write_batch_mb,read_batch,storage_efficiency_pct,overall_io_throughput_mb_s,total_time_s,total_time_min,peak_memory_mb,total_throughput_mh_s
27,32,1,1.0,256,1,198.80,173.26,59.240270,0.99,2050.93,2.27
28,32,1,2.0,512,1,199.40,231.23,77.039951,1.28,2499.10,3.48
29,32,1,4.0,1024,1,199.16,233.26,140.163712,2.34,4099.04,3.83
30,32,1,8.0,1024,1,199.45,306.84,231.782385,3.86,8195.16,4.63
31,32,1,16.0,1024,1,199.42,326.44,416.807396,6.95,13251.12,5.15
32,32,1,32.0,1024,1,198.90,346.57,757.715668,12.63,25539.24,5.67
