varying_threads,k,threads_compute,threads_io,file_size_gb,write_batch_mb,read_batch,storage_efficiency_pct,overall_io_throughput_mb_s,total_time_s,total_time_min,peak_memory_mb,total_throughput_mh_s
1,32,1,1,32.0,1024,1,390.98,1054.61,5112.134637,85.20,16386.63,0.84
2,32,2,1,32.0,1024,1,390.98,1105.45,2665.617031,44.43,16386.48,1.61
4,32,4,1,32.0,1024,1,390.99,1127.69,1506.857448,25.11,16386.75,2.85
8,32,8,1,32.0,1024,1,390.98,1092.58,1023.387558,17.06,16386.65,4.20
16,32,16,1,32.0,1024,1,390.98,1058.64,646.030190,10.77,16386.89,6.65
32,32,32,1,32.0,1024,1,390.98,1100.10,432.238188,7.20,16387.41,9.94
64,32,64,1,32.0,1024,1,390.98,1057.81,324.072843,5.40,16388.07,13.25
96,32,96,1,32.0,1024,1,390.98,1029.19,293.055246,4.88,16388.86,14.66
128,32,128,1,32.0,1024,1,390.98,1057.84,272.158973,4.54,16389.52,15.78
192,32,192,1,32.0,1024,1,390.99,1018.02,275.530740,4.59,16391.27,15.59
256,32,256,1,32.0,1024,1,390.98,981.71,271.682067,4.53,16392.80,15.81
384,32,384,1,32.0,1024,1,390.98,980.82,263.123599,4.39,16395.88,16.32
