varying_threads,k,threads_compute,threads_io,file_size_gb,write_batch_mb,read_batch,storage_efficiency_pct,overall_io_throughput_mb_s,total_time_s,total_time_min,peak_memory_mb,total_throughput_mh_s
1,29,1,1,4.0,1024,1,99.99,843.32,690.436605,11.51,7426.54,0.78
2,29,2,1,4.0,1024,1,99.99,778.33,350.907505,5.85,7426.68,1.53
4,29,4,1,4.0,1024,1,99.99,716.20,228.390061,3.81,7426.50,2.35
8,29,8,1,4.0,1024,1,99.99,642.87,136.578159,2.28,7426.69,3.93
16,29,16,1,4.0,1024,1,99.99,790.39,73.190191,1.22,7426.90,7.34
32,29,32,1,4.0,1024,1,99.99,690.19,44.947111,0.75,7426.95,11.94
64,29,64,1,4.0,1024,1,99.99,789.98,28.699627,0.48,7427.45,18.71
96,29,96,1,4.0,1024,1,99.99,789.70,27.084976,0.45,7428.11,19.82
128,29,128,1,4.0,1024,1,99.99,683.50,28.635525,0.48,7428.69,18.75
192,29,192,1,4.0,1024,1,99.99,775.92,21.783087,0.36,7429.75,24.65
256,29,256,1,4.0,1024,1,99.99,682.24,18.459039,0.31,7430.69,29.08
384,29,384,1,4.0,1024,1,99.99,778.15,15.833948,0.26,7387.76,33.91
