time,relative_time,system_cpu_user,system_cpu_system,system_cpu_total,system_mem_rss_total,system_io_read,system_io_write,system_process_count
2025-07-27 11:36:52,0.792502,456549511.0,6.04,0.0,20633732.0,456549511.0,-1855.0,1864
2025-07-27 11:36:53,1.792502,456549511.0,3660.0,0.0,21150344.0,456549511.0,-1855.0,1864
2025-07-27 11:36:54,2.792502,456549511.0,2497.0,0.0,21150344.0,456549511.0,-1855.0,1864
2025-07-27 11:36:55,3.792502,456549511.0,3354.0,0.0,21150344.0,456549511.0,-1855.0,1864
2025-07-27 11:36:56,4.792502,456549511.0,3642.0,2.0,21150344.0,456549511.0,-1855.0,1864
2025-07-27 11:36:57,5.792502,458619594.0,241.0,0.0,21150344.0,458619594.0,-1857.0,1866
2025-07-27 11:36:58,6.792502,458619594.0,5688.0,0.0,21150344.0,458619594.0,-1857.0,1866
2025-07-27 11:36:59,7.792502,458619594.0,1387.0,1.0,21150344.0,458619594.0,-1857.0,1866
2025-07-27 11:37:00,8.792502,458619594.0,1799.0100000000002,0.99,21150444.0,458619594.0,-1857.0,1866
2025-07-27 11:37:01,9.792502,458619594.0,5298.99,1.01,21150444.0,458619594.0,-1857.0,1866
2025-07-27 11:37:02,10.792502,458619594.0,52.0,0.0,21150444.0,458619594.0,-1857.0,1866
2025-07-27 11:37:03,11.792502,459655987.0,4203.0,0.0,21150444.0,459655987.0,-1858.0,1867
2025-07-27 11:37:04,12.792502,459655987.0,2755.0,0.0,21150444.0,459655987.0,-1858.0,1867
2025-07-27 11:37:05,13.792502,459655987.0,2682.0,0.0,21150444.0,459655987.0,-1858.0,1867
2025-07-27 11:37:06,14.792502,459655987.0,4378.0,0.0,21150444.0,459655987.0,-1858.0,1867
2025-07-27 11:37:07,15.792502,459655987.0,793.0,1.0,21150444.0,459655987.0,-1858.0,1867
2025-07-27 11:37:08,16.792502,459655987.0,6257.0,0.0,21150444.0,459655987.0,-1858.0,1867
2025-07-27 11:37:09,17.792502,459655987.0,46.0,0.0,21150444.0,459655987.0,-1858.0,1867
2025-07-27 11:37:10,18.792502,459655987.0,3463.0,0.0,21150396.0,459655987.0,-1858.0,1867
2025-07-27 11:37:11,19.792502,459655987.0,3509.0,0.0,21150396.0,459655987.0,-1858.0,1867
2025-07-27 11:37:12,20.792502,459655987.0,1613.0,0.0,21150396.0,459655987.0,-1858.0,1867
2025-07-27 11:37:13,21.792502,459655987.0,5426.0,0.0,21150396.0,459655987.0,-1858.0,1867
2025-07-27 11:37:14,22.792502,459655987.0,71.0,0.0,21150396.0,459655987.0,-1858.0,1867
2025-07-27 11:37:15,23.792502,459655987.0,6310.0,0.0,21150396.0,459655987.0,-1858.0,1867
2025-07-27 11:37:16,24.792502,459655987.0,658.0,1.0,21150396.0,459655987.0,-1858.0,1867
2025-07-27 11:37:17,25.792502,459655987.0,4576.0,0.0,21150396.0,459655987.0,-1858.0,1867
2025-07-27 11:37:18,26.792502,459655987.0,2413.0,0.0,21150396.0,459655987.0,-1858.0,1867
2025-07-27 11:37:19,27.792502,459655987.0,2819.0,0.0,21150396.0,459655987.0,-1858.0,1867
2025-07-27 11:37:20,28.792502,459655987.0,4158.0,0.0,21150396.0,459655987.0,-1858.0,1867
