APPROACH,K,sizeof(MemoRecord),num_threads,MEMORY_SIZE(MB),file_size(GB),BATCH_SIZE,total_throughput(MH/s),total_throughput(MB/s),elapsed_time_hash_total,elapsed_time_hash2_total,elapsed_time_io_total,elapsed_time_shuffle_total,other_time,elapsed_time,storage_efficiency
for,36,5,64,1280,320.00,1024,5.61,28.07,1189.38,1693.31,5834.49,0.00,5218.54,12242.41,78.36%
for,36,5,64,20480,320.00,1024,6.77,33.84,1228.85,2233.61,3553.26,0.00,5370.22,10152.34,94.28%
