FILENAME,NUM_THREADS,FILE_SIZE(GB),NUM_BUCKETS_SEARCH,NUM_RECORDS_IN_BUCKET,NUM_LOOKUPS,SEARCH_SIZE,FOUND_RECORDS,NOT_FOUND_RECORDS,TOTAL_TIME,TIME_PER_LOOKUP
/ssd-raid0/varvara/memo.xx,128,268435456,16777216,2,1024,3,392,632,0.29,0.29
/ssd-raid0/varvara/memo.xx,128,268435456,16777216,2,1024,4,1,1023,0.29,0.28
/ssd-raid0/varvara/memo.xx,128,268435456,16777216,2,1024,8,0,1024,0.30,0.30
/ssd-raid0/varvara/memo.xx,128,268435456,16777216,2,1024,16,0,1024,0.30,0.29
/ssd-raid0/varvara/memo.xx,128,268435456,16777216,2,1024,32,0,1024,0.42,0.41
/ssd-raid0/varvara/memo.xx,128,536870912,16777216,4,1024,3,870,154,0.30,0.29
/ssd-raid0/varvara/memo.xx,128,536870912,16777216,4,1024,4,10,1014,0.26,0.25
/ssd-raid0/varvara/memo.xx,128,536870912,16777216,4,1024,8,0,1024,0.49,0.48
/ssd-raid0/varvara/memo.xx,128,536870912,16777216,4,1024,16,0,1024,0.37,0.36
/ssd-raid0/varvara/memo.xx,128,536870912,16777216,4,1024,32,0,1024,0.55,0.53
/ssd-raid0/varvara/memo.xx,128,1073741824,16777216,8,1024,3,1019,5,0.30,0.30
/ssd-raid0/varvara/memo.xx,128,1073741824,16777216,8,1024,4,24,1000,0.35,0.34
/ssd-raid0/varvara/memo.xx,128,1073741824,16777216,8,1024,8,0,1024,0.30,0.29
/ssd-raid0/varvara/memo.xx,128,1073741824,16777216,8,1024,16,0,1024,0.29,0.28
/ssd-raid0/varvara/memo.xx,128,1073741824,16777216,8,1024,32,0,1024,0.67,0.65
/ssd-raid0/varvara/memo.xx,128,2147483648,16777216,16,1024,3,1024,0,0.41,0.40
/ssd-raid0/varvara/memo.xx,128,2147483648,16777216,16,1024,4,45,979,0.52,0.51
/ssd-raid0/varvara/memo.xx,128,2147483648,16777216,16,1024,8,0,1024,0.81,0.79
/ssd-raid0/varvara/memo.xx,128,2147483648,16777216,16,1024,16,0,1024,0.59,0.58
/ssd-raid0/varvara/memo.xx,128,2147483648,16777216,16,1024,32,0,1024,0.34,0.33
/ssd-raid0/varvara/memo.xx,128,4294967296,16777216,32,1024,3,1024,0,0.33,0.33
/ssd-raid0/varvara/memo.xx,128,4294967296,16777216,32,1024,4,105,919,0.33,0.32
/ssd-raid0/varvara/memo.xx,128,4294967296,16777216,32,1024,8,0,1024,0.45,0.44
/ssd-raid0/varvara/memo.xx,128,4294967296,16777216,32,1024,16,0,1024,0.40,0.39
/ssd-raid0/varvara/memo.xx,128,4294967296,16777216,32,1024,32,0,1024,0.54,0.53
/ssd-raid0/varvara/memo.xx,128,8589934592,16777216,64,1024,3,1024,0,0.43,0.42
/ssd-raid0/varvara/memo.xx,128,8589934592,16777216,64,1024,4,201,823,0.45,0.44
/ssd-raid0/varvara/memo.xx,128,8589934592,16777216,64,1024,8,0,1024,0.53,0.52
/ssd-raid0/varvara/memo.xx,128,8589934592,16777216,64,1024,16,0,1024,0.62,0.61
/ssd-raid0/varvara/memo.xx,128,8589934592,16777216,64,1024,32,0,1024,0.49,0.48
/ssd-raid0/varvara/memo.xx,128,17179869184,16777216,128,1024,3,1024,0,0.72,0.70
/ssd-raid0/varvara/memo.xx,128,17179869184,16777216,128,1024,4,314,710,0.85,0.83
/ssd-raid0/varvara/memo.xx,128,17179869184,16777216,128,1024,8,0,1024,0.42,0.41
/ssd-raid0/varvara/memo.xx,128,17179869184,16777216,128,1024,16,0,1024,0.43,0.42
/ssd-raid0/varvara/memo.xx,128,17179869184,16777216,128,1024,32,0,1024,0.45,0.44
/ssd-raid0/varvara/memo.xx,128,42949672960,16777216,256,1024,3,1024,0,1.42,1.39
/ssd-raid0/varvara/memo.xx,128,42949672960,16777216,256,1024,4,648,376,1.03,1.00
/ssd-raid0/varvara/memo.xx,128,42949672960,16777216,256,1024,8,0,1024,2.00,1.96
/ssd-raid0/varvara/memo.xx,128,42949672960,16777216,256,1024,16,0,1024,1.65,1.61
/ssd-raid0/varvara/memo.xx,128,42949672960,16777216,256,1024,32,0,1024,1.37,1.34
/ssd-raid0/varvara/memo.xx,128,85899345920,16777216,512,1024,3,1024,0,0.71,0.70
/ssd-raid0/varvara/memo.xx,128,85899345920,16777216,512,1024,4,890,134,0.75,0.74
/ssd-raid0/varvara/memo.xx,128,85899345920,16777216,512,1024,8,0,1024,0.85,0.83
/ssd-raid0/varvara/memo.xx,128,85899345920,16777216,512,1024,16,0,1024,0.94,0.92
/ssd-raid0/varvara/memo.xx,128,85899345920,16777216,512,1024,32,0,1024,0.75,0.73
/ssd-raid0/varvara/memo.xx,128,171798691840,16777216,1024,1024,3,1024,0,0.92,0.90
/ssd-raid0/varvara/memo.xx,128,171798691840,16777216,1024,1024,4,1000,24,0.71,0.70
/ssd-raid0/varvara/memo.xx,128,171798691840,16777216,1024,1024,8,0,1024,0.82,0.80
/ssd-raid0/varvara/memo.xx,128,171798691840,16777216,1024,1024,16,0,1024,0.94,0.92
/ssd-raid0/varvara/memo.xx,128,171798691840,16777216,1024,1024,32,0,1024,0.71,0.70
