APPROACH,K,NONCE_SIZE(B),NUM_THREADS,MEMORY_SIZE(MB),FILE_SIZE(GB),BATCH_SIZE,THROUGHPUT(MH/S),THROUGHPUT(MB/S),HASH_TIME,IO_TIME,SHUFFLE_TIME,OTHER_TIME,TOTAL_TIME,STORAGE_EFFICIENCY
for,25,4,8,128,0.12,1024,3.09,12.36,3.16,5.24,0.00,2.46,10.86,21.69
for,26,4,8,256,0.25,1024,3.27,13.08,5.72,12.35,0.00,2.46,20.53,43.92
for,27,4,8,512,0.50,1024,3.08,12.32,11.67,29.02,0.00,2.90,43.59,61.24
for,28,4,8,1024,1.00,1024,2.80,11.19,24.78,67.47,0.00,3.74,95.98,73.48
for,29,4,8,2048,2.00,1024,2.72,10.87,51.19,140.87,0.00,5.41,197.47,81.85
for,30,4,8,4096,4.00,1024,2.59,10.35,107.84,299.86,0.00,7.32,415.01,87.44
for,31,4,8,8192,8.00,1024,2.53,10.13,220.32,617.25,0.00,10.40,847.97,90.83
