timestamp,binary,file,t,r,keep_open,lookups,difficulty,found,not_found,matches,avg_ms_per_lookup,total_ms,total_s
2026-01-20T12:16:32-06:00,./vaultx,./plots/merge_29_10_1.plot,1,1,false,1000,4,739,261,1307,0.7207,720.67,0.720670
2026-01-20T12:16:33-06:00,./vaultx,./plots/merge_29_10_1.plot,1,1,true,1000,4,703,297,1239,0.5546,554.58,0.554580
2026-01-20T12:16:33-06:00,./vaultx,./plots/merge_29_10_1.plot,1,2,false,1000,4,718,282,1229,0.6013,601.35,0.601350
2026-01-20T12:16:33-06:00,./vaultx,./plots/merge_29_10_1.plot,1,2,true,1000,4,718,282,1229,0.0469,46.93,0.046930
2026-01-20T12:16:33-06:00,./vaultx,./plots/merge_29_10_1.plot,1,4,false,1000,4,718,282,1229,0.0324,32.37,0.032370
2026-01-20T12:16:34-06:00,./vaultx,./plots/merge_29_10_1.plot,1,4,true,1000,4,718,282,1229,0.0246,24.65,0.024650
2026-01-20T12:16:34-06:00,./vaultx,./plots/merge_29_10_1.plot,1,8,false,1000,4,726,274,1221,0.4848,484.84,0.484840
2026-01-20T12:16:34-06:00,./vaultx,./plots/merge_29_10_1.plot,1,8,true,1000,4,726,274,1221,0.0208,20.84,0.020840
2026-01-20T12:16:34-06:00,./vaultx,./plots/merge_29_10_1.plot,1,16,false,1000,4,726,274,1221,0.0307,30.68,0.030680
2026-01-20T12:16:34-06:00,./vaultx,./plots/merge_29_10_1.plot,1,16,true,1000,4,726,274,1221,0.0260,25.98,0.025980
2026-01-20T12:16:34-06:00,./vaultx,./plots/merge_29_10_1.plot,1,40,false,1000,4,726,274,1221,0.0930,92.97,0.092970
2026-01-20T12:16:35-06:00,./vaultx,./plots/merge_29_10_1.plot,1,40,true,1000,4,726,274,1221,0.1859,185.94,0.185940
2026-01-20T12:16:35-06:00,./vaultx,./plots/merge_29_10_1.plot,2,1,false,1000,4,735,265,1306,0.6436,643.60,0.643600
2026-01-20T12:16:36-06:00,./vaultx,./plots/merge_29_10_1.plot,2,1,true,1000,4,735,265,1306,0.0653,65.29,0.065290
2026-01-20T12:16:36-06:00,./vaultx,./plots/merge_29_10_1.plot,2,2,false,1000,4,749,251,1387,0.6334,633.44,0.633440
2026-01-20T12:16:36-06:00,./vaultx,./plots/merge_29_10_1.plot,2,2,true,1000,4,749,251,1387,0.0405,40.47,0.040470
2026-01-20T12:16:37-06:00,./vaultx,./plots/merge_29_10_1.plot,2,4,false,1000,4,749,251,1387,0.2172,217.17,0.217170
2026-01-20T12:16:37-06:00,./vaultx,./plots/merge_29_10_1.plot,2,4,true,1000,4,733,267,1276,0.7495,749.48,0.749480
2026-01-20T12:16:38-06:00,./vaultx,./plots/merge_29_10_1.plot,2,8,false,1000,4,733,267,1276,0.7599,759.93,0.759930
2026-01-20T12:16:39-06:00,./vaultx,./plots/merge_29_10_1.plot,2,8,true,1000,4,697,303,1240,0.8712,871.17,0.871170
2026-01-20T12:16:41-06:00,./vaultx,./plots/merge_29_10_1.plot,2,16,false,1000,4,692,308,1250,1.8665,1866.55,1.866550
2026-01-20T12:16:43-06:00,./vaultx,./plots/merge_29_10_1.plot,2,16,true,1000,4,690,310,1209,1.8926,1892.56,1.892560
2026-01-20T12:16:51-06:00,./vaultx,./plots/merge_29_10_1.plot,2,40,false,1000,4,706,294,1204,8.0383,8038.29,8.038290
2026-01-20T12:16:59-06:00,./vaultx,./plots/merge_29_10_1.plot,2,40,true,1000,4,729,271,1273,7.8004,7800.36,7.800360
2026-01-20T12:16:59-06:00,./vaultx,./plots/merge_29_10_1.plot,4,1,false,1000,4,715,285,1254,0.5177,517.67,0.517670
2026-01-20T12:17:00-06:00,./vaultx,./plots/merge_29_10_1.plot,4,1,true,1000,4,693,307,1248,0.4094,409.41,0.409410
2026-01-20T12:17:02-06:00,./vaultx,./plots/merge_29_10_1.plot,4,2,false,1000,4,693,307,1248,0.3316,331.64,0.331640
2026-01-20T12:17:02-06:00,./vaultx,./plots/merge_29_10_1.plot,4,2,true,1000,4,709,291,1228,0.6442,644.18,0.644180
2026-01-20T12:17:03-06:00,./vaultx,./plots/merge_29_10_1.plot,4,4,false,1000,4,709,291,1228,0.1539,153.90,0.153900
2026-01-20T12:17:03-06:00,./vaultx,./plots/merge_29_10_1.plot,4,4,true,1000,4,690,310,1180,0.4256,425.65,0.425650
2026-01-20T12:17:04-06:00,./vaultx,./plots/merge_29_10_1.plot,4,8,false,1000,4,690,310,1180,0.5200,519.96,0.519960
2026-01-20T12:17:04-06:00,./vaultx,./plots/merge_29_10_1.plot,4,8,true,1000,4,683,317,1188,0.7253,725.33,0.725330
2026-01-20T12:17:06-06:00,./vaultx,./plots/merge_29_10_1.plot,4,16,false,1000,4,683,317,1188,1.6864,1686.41,1.686410
2026-01-20T12:17:08-06:00,./vaultx,./plots/merge_29_10_1.plot,4,16,true,1000,4,718,282,1282,1.6401,1640.07,1.640070
2026-01-20T12:17:16-06:00,./vaultx,./plots/merge_29_10_1.plot,4,40,false,1000,4,715,285,1278,7.5345,7534.53,7.534530
2026-01-20T12:17:23-06:00,./vaultx,./plots/merge_29_10_1.plot,4,40,true,1000,4,707,293,1222,7.3063,7306.27,7.306270
2026-01-20T12:17:23-06:00,./vaultx,./plots/merge_29_10_1.plot,8,1,false,1000,4,714,286,1266,0.4580,457.95,0.457950
2026-01-20T12:17:23-06:00,./vaultx,./plots/merge_29_10_1.plot,8,1,true,1000,4,714,286,1266,0.0480,48.04,0.048040
2026-01-20T12:17:24-06:00,./vaultx,./plots/merge_29_10_1.plot,8,2,false,1000,4,714,286,1266,0.5873,587.28,0.587280
2026-01-20T12:17:25-06:00,./vaultx,./plots/merge_29_10_1.plot,8,2,true,1000,4,709,291,1222,1.0266,1026.62,1.026620
2026-01-20T12:17:26-06:00,./vaultx,./plots/merge_29_10_1.plot,8,4,false,1000,4,711,289,1246,0.8481,848.08,0.848080
2026-01-20T12:17:27-06:00,./vaultx,./plots/merge_29_10_1.plot,8,4,true,1000,4,727,273,1287,0.7159,715.93,0.715930
2026-01-20T12:17:27-06:00,./vaultx,./plots/merge_29_10_1.plot,8,8,false,1000,4,726,274,1248,0.4338,433.82,0.433820
2026-01-20T12:17:27-06:00,./vaultx,./plots/merge_29_10_1.plot,8,8,true,1000,4,726,274,1248,0.0342,34.21,0.034210
2026-01-20T12:17:28-06:00,./vaultx,./plots/merge_29_10_1.plot,8,16,false,1000,4,726,274,1248,0.9790,979.04,0.979040
2026-01-20T12:17:30-06:00,./vaultx,./plots/merge_29_10_1.plot,8,16,true,1000,4,716,284,1282,1.1846,1184.65,1.184650
2026-01-20T12:17:38-06:00,./vaultx,./plots/merge_29_10_1.plot,8,40,false,1000,4,737,263,1284,7.1474,7147.39,7.147390
