APPROACH,K,NONCE_SIZE(B),NUM_THREADS,MEMORY_SIZE(MB),FILE_SIZE(GB),BATCH_SIZE,THROUGHPUT(MH/S),THROUGHPUT(MB/S),HASH_TIME,IO_TIME,SHUFFLE_TIME,OTHER_TIME,TOTAL_TIME,STORAGE_EFFICIENCY
for,25,4,128,128,0.12,1024,4.89,19.55,2.12,2.84,0.00,1.91,6.87,21.68
for,26,4,128,256,0.25,1024,5.66,22.64,3.81,5.18,0.00,2.86,11.85,43.92
for,27,4,128,512,0.50,1024,6.94,27.77,6.64,10.11,0.00,2.59,19.34,61.24
for,28,4,128,1024,1.00,1024,7.14,28.58,11.81,22.27,0.00,3.49,37.57,73.48
for,29,4,128,2048,2.00,1024,8.77,35.06,20.13,35.78,0.00,5.33,61.25,81.85
for,30,4,128,4096,4.00,1024,10.82,43.29,37.23,53.09,0.00,8.89,99.22,87.43
for,31,4,128,8192,8.00,1024,10.59,42.35,73.56,112.86,0.00,16.40,202.82,90.83
for,32,5,128,20480,20.00,1024,11.25,56.25,94.17,248.52,0.00,39.07,381.76,93.99
for,33,5,128,40960,40.00,1024,10.80,54.01,247.84,465.65,0.00,81.67,795.16,95.81
