timestamp,binary,file,file_count,sweep_mode,t,r,keep_open,lookups,difficulty,found,not_found,matches,open_close_ms,seek_ms,read_ms,hash_ms,avg_ms_per_lookup,total_ms,total_s
2026-01-23T03:25:27+00:00,/home/sfatunmbi/vaultx/vaultx,/data-l/iraicu/tmp/,438,t-sweep,1,1,false,10,4,2778,1602,4407,9.7339,2180.2595,3256.7883,85.2845,5532.0662,55320.6623,55.320662
2026-01-23T03:26:22+00:00,/home/sfatunmbi/vaultx/vaultx,/data-l/iraicu/tmp/,438,t-sweep,1,1,true,10,4,2765,1615,4402,2.5973,2687.6089,2673.4861,85.2746,5448.9669,54489.6693,54.489669
2026-01-23T03:27:15+00:00,/home/sfatunmbi/vaultx/vaultx,/data-l/iraicu/tmp/,438,t-sweep,2,1,false,10,4,2763,1617,4307,6.0950,2672.1816,2609.3556,43.6173,5331.2495,53312.4951,53.312495
2026-01-23T03:28:02+00:00,/home/sfatunmbi/vaultx/vaultx,/data-l/iraicu/tmp/,438,t-sweep,2,1,true,10,4,2744,1636,4285,1.2641,1838.4071,2760.9702,43.4303,4644.0717,46440.7169,46.440717
2026-01-23T03:28:46+00:00,/home/sfatunmbi/vaultx/vaultx,/data-l/iraicu/tmp/,438,t-sweep,4,1,false,10,4,2770,1610,4377,2.7391,2574.7045,1794.3205,22.7234,4394.4874,43944.8745,43.944874
2026-01-23T03:29:26+00:00,/home/sfatunmbi/vaultx/vaultx,/data-l/iraicu/tmp/,438,t-sweep,4,1,true,10,4,2726,1654,4434,0.6863,1945.2895,2029.1667,22.3876,3997.5301,39975.3009,39.975301
2026-01-23T03:30:03+00:00,/home/sfatunmbi/vaultx/vaultx,/data-l/iraicu/tmp/,438,t-sweep,8,1,false,10,4,2757,1623,4360,1.5000,1451.0213,2170.0321,11.7391,3634.2926,36342.9255,36.342925
2026-01-23T03:30:37+00:00,/home/sfatunmbi/vaultx/vaultx,/data-l/iraicu/tmp/,438,t-sweep,8,1,true,10,4,2789,1591,4396,0.1768,1692.0733,1682.6607,11.5507,3386.4615,33864.6149,33.864615
2026-01-23T03:31:08+00:00,/home/sfatunmbi/vaultx/vaultx,/data-l/iraicu/tmp/,438,t-sweep,16,1,false,10,4,2756,1624,4418,0.7830,971.0869,2119.6203,6.1064,3097.5966,30975.9660,30.975966
2026-01-23T03:31:37+00:00,/home/sfatunmbi/vaultx/vaultx,/data-l/iraicu/tmp/,438,t-sweep,16,1,true,10,4,2753,1627,4321,0.1789,565.3308,2294.3195,6.1713,2866.0005,28660.0051,28.660005
2026-01-23T03:32:05+00:00,/home/sfatunmbi/vaultx/vaultx,/data-l/iraicu/tmp/,438,t-sweep,32,1,false,10,4,2805,1575,4443,0.4058,548.1241,2191.3387,3.1995,2743.0681,27430.6807,27.430681
2026-01-23T03:32:30+00:00,/home/sfatunmbi/vaultx/vaultx,/data-l/iraicu/tmp/,438,t-sweep,32,1,true,10,4,2654,1726,4175,0.0496,1481.7467,993.8664,3.1911,2478.8538,24788.5379,24.788538
2026-01-23T03:33:00+00:00,/home/sfatunmbi/vaultx/vaultx,/data-l/iraicu/tmp/,438,t-sweep,64,1,false,10,4,2768,1612,4426,0.2059,1107.0047,1893.4259,1.6245,3002.2610,30022.6103,30.022610
2026-01-23T03:33:25+00:00,/home/sfatunmbi/vaultx/vaultx,/data-l/iraicu/tmp/,438,t-sweep,64,1,true,10,4,2786,1594,4455,0.0252,1851.5266,583.2221,1.6862,2436.4601,24364.6012,24.364601
2026-01-23T03:33:57+00:00,/home/sfatunmbi/vaultx/vaultx,/data-l/iraicu/tmp/,438,t-sweep,128,1,false,10,4,2780,1600,4361,0.1513,1361.0555,1803.8122,0.9816,3166.0005,31660.0050,31.660005
2026-01-23T03:34:21+00:00,/home/sfatunmbi/vaultx/vaultx,/data-l/iraicu/tmp/,438,t-sweep,128,1,true,10,4,2762,1618,4367,0.0171,487.8606,1897.2395,1.0771,2386.1944,23861.9444,23.861944
