timestamp,binary,file,t,r,keep_open,lookups,difficulty,found,not_found,matches,avg_ms_per_lookup,total_ms,total_s
2026-01-20T12:08:45-06:00,./vaultx,./temps/,1,1,false,1000,4,1230,8770,1301,5.8445,58444.92,58.444920
2026-01-20T12:08:48-06:00,./vaultx,./temps/,1,1,true,1000,4,1181,8819,1257,2.8324,28324.05,28.324050
2026-01-20T12:08:54-06:00,./vaultx,./temps/,1,2,false,1000,4,1205,8795,1286,5.9244,59243.58,59.243580
2026-01-20T12:08:57-06:00,./vaultx,./temps/,1,2,true,1000,4,1216,8784,1305,2.9651,29650.98,29.650980
2026-01-20T12:09:04-06:00,./vaultx,./temps/,1,4,false,1000,4,1221,8779,1302,5.8115,58115.36,58.115360
2026-01-20T12:09:07-06:00,./vaultx,./temps/,1,4,true,1000,4,1179,8821,1241,3.1008,31008.20,31.008200
2026-01-20T12:09:15-06:00,./vaultx,./temps/,1,8,false,1000,4,1116,8884,1175,6.5508,65507.80,65.507800
2026-01-20T12:09:18-06:00,./vaultx,./temps/,1,8,true,1000,4,1185,8815,1256,2.8132,28132.22,28.132220
2026-01-20T12:09:24-06:00,./vaultx,./temps/,1,16,false,1000,4,1134,8866,1215,5.5236,55235.74,55.235740
2026-01-20T12:09:26-06:00,./vaultx,./temps/,1,16,true,1000,4,1246,8754,1336,2.5576,25576.45,25.576450
2026-01-20T12:09:33-06:00,./vaultx,./temps/,1,40,false,1000,4,1202,8798,1273,6.3845,63844.75,63.844750
2026-01-20T12:09:37-06:00,./vaultx,./temps/,1,40,true,1000,4,1115,8885,1189,3.8490,38489.92,38.489920
2026-01-20T12:09:40-06:00,./vaultx,./temps/,2,1,false,1000,4,1175,8825,1246,2.7335,27334.80,27.334800
2026-01-20T12:09:41-06:00,./vaultx,./temps/,2,1,true,1000,4,1207,8793,1265,1.4333,14333.00,14.333000
2026-01-20T12:09:45-06:00,./vaultx,./temps/,2,2,false,1000,4,1170,8830,1252,2.7660,27660.22,27.660220
2026-01-20T12:09:47-06:00,./vaultx,./temps/,2,2,true,1000,4,1154,8846,1238,1.4580,14579.74,14.579740
2026-01-20T12:09:50-06:00,./vaultx,./temps/,2,4,false,1000,4,1230,8770,1312,3.1340,31339.67,31.339670
2026-01-20T12:09:52-06:00,./vaultx,./temps/,2,4,true,1000,4,1237,8763,1307,1.6385,16384.60,16.384600
2026-01-20T12:09:56-06:00,./vaultx,./temps/,2,8,false,1000,4,1163,8837,1245,3.4666,34666.49,34.666490
2026-01-20T12:09:58-06:00,./vaultx,./temps/,2,8,true,1000,4,1157,8843,1224,1.9225,19224.77,19.224770
2026-01-20T12:10:02-06:00,./vaultx,./temps/,2,16,false,1000,4,1159,8841,1235,3.9751,39750.62,39.750620
2026-01-20T12:10:04-06:00,./vaultx,./temps/,2,16,true,1000,4,1172,8828,1229,2.5403,25403.42,25.403420
2026-01-20T12:10:13-06:00,./vaultx,./temps/,2,40,false,1000,4,1157,8843,1230,8.0387,80386.95,80.386950
2026-01-20T12:10:22-06:00,./vaultx,./temps/,2,40,true,1000,4,1195,8805,1283,7.7900,77899.85,77.899850
2026-01-20T12:10:24-06:00,./vaultx,./temps/,4,1,false,1000,4,1124,8876,1214,1.6058,16058.49,16.058490
2026-01-20T12:10:25-06:00,./vaultx,./temps/,4,1,true,1000,4,1187,8813,1261,0.8573,8573.38,8.573380
2026-01-20T12:10:27-06:00,./vaultx,./temps/,4,2,false,1000,4,1218,8782,1298,1.9712,19712.35,19.712350
2026-01-20T12:10:28-06:00,./vaultx,./temps/,4,2,true,1000,4,1243,8757,1324,1.0599,10598.78,10.598780
2026-01-20T12:10:30-06:00,./vaultx,./temps/,4,4,false,1000,4,1201,8799,1284,1.6422,16421.83,16.421830
2026-01-20T12:10:31-06:00,./vaultx,./temps/,4,4,true,1000,4,1232,8768,1313,0.9193,9193.20,9.193200
2026-01-20T12:10:33-06:00,./vaultx,./temps/,4,8,false,1000,4,1189,8811,1262,1.8851,18850.90,18.850900
2026-01-20T12:10:34-06:00,./vaultx,./temps/,4,8,true,1000,4,1121,8879,1199,1.1526,11525.86,11.525860
