FILENAME,NUM_THREADS,FILE_SIZE(GB),NUM_BUCKETS_SEARCH,NUM_RECORDS_IN_BUCKET,NUM_LOOKUPS,SEARCH_SIZE,FOUND_RECORDS,NOT_FOUND_RECORDS,TOTAL_TIME,TIME_PER_LOOKUP
/data-fast/varvara/memo.xx,8,268435456,16777216,2,1024,3,351,673,0.65,0.63
/data-fast/varvara/memo.xx,8,268435456,16777216,2,1024,4,1,1023,0.62,0.61
/data-fast/varvara/memo.xx,8,268435456,16777216,2,1024,8,0,1024,0.09,0.09
/data-fast/varvara/memo.xx,8,268435456,16777216,2,1024,16,0,1024,0.09,0.09
/data-fast/varvara/memo.xx,8,268435456,16777216,2,1024,32,0,1024,0.09,0.09
/data-fast/varvara/memo.xx,8,536870912,16777216,4,1024,3,864,160,0.09,0.09
/data-fast/varvara/memo.xx,8,536870912,16777216,4,1024,4,10,1014,0.10,0.09
/data-fast/varvara/memo.xx,8,536870912,16777216,4,1024,8,0,1024,0.10,0.09
/data-fast/varvara/memo.xx,8,536870912,16777216,4,1024,16,0,1024,0.10,0.10
/data-fast/varvara/memo.xx,8,536870912,16777216,4,1024,32,0,1024,0.09,0.09
/data-fast/varvara/memo.xx,8,1073741824,16777216,8,1024,3,1015,9,0.82,0.80
/data-fast/varvara/memo.xx,8,1073741824,16777216,8,1024,4,19,1005,0.40,0.39
/data-fast/varvara/memo.xx,8,1073741824,16777216,8,1024,8,0,1024,0.09,0.09
/data-fast/varvara/memo.xx,8,1073741824,16777216,8,1024,16,0,1024,0.10,0.09
/data-fast/varvara/memo.xx,8,1073741824,16777216,8,1024,32,0,1024,0.10,0.10
/data-fast/varvara/memo.xx,8,2147483648,16777216,16,1024,3,1024,0,0.11,0.10
/data-fast/varvara/memo.xx,8,2147483648,16777216,16,1024,4,46,978,0.10,0.10
/data-fast/varvara/memo.xx,8,2147483648,16777216,16,1024,8,0,1024,0.10,0.10
/data-fast/varvara/memo.xx,8,2147483648,16777216,16,1024,16,0,1024,0.10,0.10
/data-fast/varvara/memo.xx,8,2147483648,16777216,16,1024,32,0,1024,0.11,0.11
/data-fast/varvara/memo.xx,8,4294967296,16777216,32,1024,3,1024,0,0.10,0.10
/data-fast/varvara/memo.xx,8,4294967296,16777216,32,1024,4,112,912,0.10,0.10
/data-fast/varvara/memo.xx,8,4294967296,16777216,32,1024,8,0,1024,0.10,0.10
/data-fast/varvara/memo.xx,8,4294967296,16777216,32,1024,16,0,1024,0.10,0.10
/data-fast/varvara/memo.xx,8,4294967296,16777216,32,1024,32,0,1024,0.11,0.10
/data-fast/varvara/memo.xx,8,8589934592,16777216,64,1024,3,1024,0,0.18,0.18
/data-fast/varvara/memo.xx,8,8589934592,16777216,64,1024,4,210,814,0.13,0.13
/data-fast/varvara/memo.xx,8,8589934592,16777216,64,1024,8,0,1024,0.12,0.12
/data-fast/varvara/memo.xx,8,8589934592,16777216,64,1024,16,0,1024,0.12,0.12
/data-fast/varvara/memo.xx,8,8589934592,16777216,64,1024,32,0,1024,0.12,0.12
/data-fast/varvara/memo.xx,8,17179869184,16777216,128,1024,3,1024,0,0.86,0.84
/data-fast/varvara/memo.xx,8,17179869184,16777216,128,1024,4,320,704,0.32,0.31
/data-fast/varvara/memo.xx,8,17179869184,16777216,128,1024,8,0,1024,0.32,0.32
/data-fast/varvara/memo.xx,8,17179869184,16777216,128,1024,16,0,1024,0.14,0.14
/data-fast/varvara/memo.xx,8,17179869184,16777216,128,1024,32,0,1024,0.14,0.14
