timestamp,binary,file,file_count,sweep_mode,t,r,keep_open,lookups,difficulty,found,not_found,matches,open_close_ms,seek_ms,read_ms,hash_ms,avg_ms_per_lookup,total_ms,total_s
2026-01-28T03:26:46+00:00,/home/sfatunmbi/vaultx/vaultx,/data-r/iraicu/vaults/merge_32_128.plot,1,r-sweep,1,1,false,1280,4,1280,0,164489,0.0915,0.0010,14.3364,11.3912,25.8201,33049.7220,33.049722
2026-01-28T03:27:17+00:00,/home/sfatunmbi/vaultx/vaultx,/data-r/iraicu/vaults/merge_32_128.plot,1,r-sweep,1,1,true,1280,4,1280,0,164157,0.0002,0.0025,13.2041,11.0287,24.2355,31021.4221,31.021422
2026-01-28T03:27:46+00:00,/home/sfatunmbi/vaultx/vaultx,/data-r/iraicu/vaults/merge_32_128.plot,1,r-sweep,1,2,false,1280,4,1280,0,164484,0.0926,0.0009,13.3175,8.5778,21.9888,28145.7251,28.145725
2026-01-28T03:28:13+00:00,/home/sfatunmbi/vaultx/vaultx,/data-r/iraicu/vaults/merge_32_128.plot,1,r-sweep,1,2,true,1280,4,1280,0,164205,0.0002,0.0030,12.8511,8.4554,21.3097,27276.4709,27.276471
2026-01-28T03:28:39+00:00,/home/sfatunmbi/vaultx/vaultx,/data-r/iraicu/vaults/merge_32_128.plot,1,r-sweep,1,4,false,1280,4,1280,0,163606,0.0979,0.0010,13.0608,6.4130,19.5727,25053.0834,25.053083
2026-01-28T03:29:03+00:00,/home/sfatunmbi/vaultx/vaultx,/data-r/iraicu/vaults/merge_32_128.plot,1,r-sweep,1,4,true,1280,4,1280,0,164203,0.0002,0.0029,12.8072,6.2841,19.0944,24440.7838,24.440784
2026-01-28T03:29:33+00:00,/home/sfatunmbi/vaultx/vaultx,/data-r/iraicu/vaults/merge_32_128.plot,1,r-sweep,1,8,false,1280,4,1280,0,163796,0.1027,0.0011,13.5355,9.1393,22.7785,29156.4981,29.156498
2026-01-28T03:30:02+00:00,/home/sfatunmbi/vaultx/vaultx,/data-r/iraicu/vaults/merge_32_128.plot,1,r-sweep,1,8,true,1280,4,1280,0,163987,0.0002,0.0025,13.1655,9.7365,22.9047,29318.0062,29.318006
2026-01-28T03:30:28+00:00,/home/sfatunmbi/vaultx/vaultx,/data-r/iraicu/vaults/merge_32_128.plot,1,r-sweep,1,16,false,1280,4,1280,0,162926,0.1161,0.0013,12.7676,7.1842,20.0691,25688.5033,25.688503
2026-01-28T03:30:55+00:00,/home/sfatunmbi/vaultx/vaultx,/data-r/iraicu/vaults/merge_32_128.plot,1,r-sweep,1,16,true,1280,4,1280,0,164314,0.0002,0.0030,13.0884,7.5785,20.6701,26457.7785,26.457778
2026-01-28T03:31:20+00:00,/home/sfatunmbi/vaultx/vaultx,/data-r/iraicu/vaults/merge_32_128.plot,1,r-sweep,1,32,false,1280,4,1280,0,163666,0.1206,0.0012,12.8062,6.4030,19.3310,24743.6597,24.743660
2026-01-28T03:31:43+00:00,/home/sfatunmbi/vaultx/vaultx,/data-r/iraicu/vaults/merge_32_128.plot,1,r-sweep,1,32,true,1280,4,1280,0,163405,0.0002,0.0028,12.8336,5.2812,18.1179,23190.9193,23.190919
2026-01-28T03:32:13+00:00,/home/sfatunmbi/vaultx/vaultx,/data-r/iraicu/vaults/merge_32_128.plot,1,r-sweep,1,64,false,1280,4,1280,0,163460,0.0959,0.0009,13.9098,9.0235,23.0302,29478.5924,29.478592
2026-01-28T03:32:34+00:00,/home/sfatunmbi/vaultx/vaultx,/data-r/iraicu/vaults/merge_32_128.plot,1,r-sweep,1,64,true,1280,4,1280,0,163651,0.0003,0.0030,13.2072,3.1278,16.3383,20913.0585,20.913058
2026-01-28T03:33:18+00:00,/home/sfatunmbi/vaultx/vaultx,/data-r/iraicu/vaults/merge_32_128.plot,1,r-sweep,1,128,false,1280,4,1280,0,163285,0.1211,0.0012,18.2137,15.7521,34.0880,43632.6663,43.632666
2026-01-28T03:33:39+00:00,/home/sfatunmbi/vaultx/vaultx,/data-r/iraicu/vaults/merge_32_128.plot,1,r-sweep,1,128,true,1280,4,1280,0,163647,0.0003,0.0033,13.2377,2.5508,15.7920,20213.8216,20.213822
