timestamp,binary,file,file_count,sweep_mode,t,r,keep_open,lookups,difficulty,found,not_found,matches,open_close_ms,seek_ms,read_ms,hash_ms,avg_ms_per_lookup,total_ms,total_s
2026-01-23T12:40:18+00:00,/home/sfatunmbi/vaultx/vaultx,/data-l/iraicu/tmp/,438,t-sweep,1,1,false,10,4,2842,1538,4554,27.5743,2113.9685,3269.9885,40.6024,5452.1337,54521.3373,54.521337
2026-01-23T12:41:11+00:00,/home/sfatunmbi/vaultx/vaultx,/data-l/iraicu/tmp/,438,t-sweep,1,1,true,10,4,2803,1577,4461,2.3730,3160.0415,2113.6652,84.8109,5360.8905,53608.9051,53.608905
2026-01-23T12:42:04+00:00,/home/sfatunmbi/vaultx/vaultx,/data-l/iraicu/tmp/,438,t-sweep,2,1,false,10,4,2779,1601,4415,14.1497,2965.5146,2175.0787,19.5096,5174.2526,51742.5259,51.742526
2026-01-23T12:42:50+00:00,/home/sfatunmbi/vaultx/vaultx,/data-l/iraicu/tmp/,438,t-sweep,2,1,true,10,4,2743,1637,4342,1.2983,1817.2799,2748.4519,41.0916,4608.1217,46081.2167,46.081217
2026-01-23T12:43:31+00:00,/home/sfatunmbi/vaultx/vaultx,/data-l/iraicu/tmp/,438,t-sweep,4,1,false,10,4,2721,1659,4323,7.6604,1999.9435,2035.8732,10.3149,4053.7920,40537.9198,40.537920
2026-01-23T12:44:10+00:00,/home/sfatunmbi/vaultx/vaultx,/data-l/iraicu/tmp/,438,t-sweep,4,1,true,10,4,2770,1610,4323,0.6673,1555.5193,2321.3239,22.4030,3899.9135,38999.1354,38.999135
2026-01-23T12:44:45+00:00,/home/sfatunmbi/vaultx/vaultx,/data-l/iraicu/tmp/,438,t-sweep,8,1,false,10,4,2766,1614,4366,4.2232,2366.9867,1143.8121,5.2241,3520.2462,35202.4618,35.202462
2026-01-23T12:45:19+00:00,/home/sfatunmbi/vaultx/vaultx,/data-l/iraicu/tmp/,438,t-sweep,8,1,true,10,4,2775,1605,4340,0.3505,1685.5751,1684.1773,11.6285,3381.7315,33817.3147,33.817315
2026-01-23T12:45:49+00:00,/home/sfatunmbi/vaultx/vaultx,/data-l/iraicu/tmp/,438,t-sweep,16,1,false,10,4,2777,1603,4426,2.3410,1445.9543,1519.6901,2.6459,2970.6312,29706.3123,29.706312
2026-01-23T12:46:18+00:00,/home/sfatunmbi/vaultx/vaultx,/data-l/iraicu/tmp/,438,t-sweep,16,1,true,10,4,2777,1603,4348,0.1821,1168.2490,1725.7890,6.0729,2900.2930,29002.9295,29.002929
2026-01-23T12:46:49+00:00,/home/sfatunmbi/vaultx/vaultx,/data-l/iraicu/tmp/,438,t-sweep,32,1,false,10,4,2771,1609,4437,1.6526,1529.1443,1454.8188,1.3127,2986.9284,29869.2836,29.869284
2026-01-23T12:47:14+00:00,/home/sfatunmbi/vaultx/vaultx,/data-l/iraicu/tmp/,438,t-sweep,32,1,true,10,4,2741,1639,4341,0.0980,996.8777,1516.1850,3.1516,2516.3123,25163.1231,25.163123
2026-01-23T12:47:45+00:00,/home/sfatunmbi/vaultx/vaultx,/data-l/iraicu/tmp/,438,t-sweep,64,1,false,10,4,2757,1623,4443,1.9541,1409.6908,1601.4791,0.6965,3013.8206,30138.2056,30.138206
2026-01-23T12:48:08+00:00,/home/sfatunmbi/vaultx/vaultx,/data-l/iraicu/tmp/,438,t-sweep,64,1,true,10,4,2748,1632,4276,0.0502,1173.9904,1142.8395,1.6617,2318.5418,23185.4184,23.185418
2026-01-23T12:48:39+00:00,/home/sfatunmbi/vaultx/vaultx,/data-l/iraicu/tmp/,438,t-sweep,128,1,false,10,4,2799,1581,4407,5.5492,1636.0783,1442.5888,0.3726,3084.5890,30845.8899,30.845890
2026-01-23T12:49:04+00:00,/home/sfatunmbi/vaultx/vaultx,/data-l/iraicu/tmp/,438,t-sweep,128,1,true,10,4,2801,1579,4385,0.0328,2113.4210,338.4729,1.0583,2452.9849,24529.8493,24.529849
