APPROACH,K,NONCE_SIZE(B),NUM_THREADS,MEMORY_SIZE(MB),FILE_SIZE(GB),BATCH_SIZE,THROUGHPUT(MH/S),THROUGHPUT(MB/S),HASH_TIME,IO_TIME,SHUFFLE_TIME,OTHER_TIME,TOTAL_TIME,STORAGE_EFFICIENCY
for,25,4,8,128,0.12,1024,2.26,9.06,3.02,9.47,0.00,2.32,14.82,21.68
for,26,4,8,256,0.25,1024,2.37,9.50,6.08,19.70,0.00,2.49,28.27,43.92
for,27,4,8,512,0.50,1024,2.33,9.34,11.63,42.97,0.00,2.89,57.49,61.24
for,28,4,8,1024,1.00,1024,2.29,9.18,24.34,88.79,0.00,3.84,116.97,73.48
for,29,4,8,2048,2.00,1024,2.26,9.06,51.14,180.94,0.00,5.01,237.09,81.85
for,30,4,8,4096,4.00,1024,2.17,8.67,105.62,382.63,0.00,7.38,495.64,87.43
for,31,4,8,8192,8.00,1024,2.10,8.40,220.46,791.75,0.00,10.63,1022.84,90.83
