timestamp,binary,file,t,r,keep_open,lookups,difficulty,found,not_found,matches,avg_ms_per_lookup,total_ms,total_s
2026-01-20T21:10:18+00:00,./vaultx,/data-l/iraicu/tmp/,1,1,false,10,4,2751,1629,4362,6522.3082,28567710.01,28567.710010
2026-01-20T21:11:12+00:00,./vaultx,/data-l/iraicu/tmp/,1,1,true,10,4,2776,1604,4401,5389.2351,23604849.85,23604.849850
2026-01-20T21:12:06+00:00,./vaultx,/data-l/iraicu/tmp/,1,2,false,10,4,2749,1631,4382,5429.8910,23782922.75,23782.922750
2026-01-20T21:12:59+00:00,./vaultx,/data-l/iraicu/tmp/,1,2,true,10,4,2789,1591,4442,5299.3899,23211327.90,23211.327900
2026-01-20T21:13:53+00:00,./vaultx,/data-l/iraicu/tmp/,1,4,false,10,4,2751,1629,4415,5342.6530,23400820.08,23400.820080
2026-01-20T21:14:46+00:00,./vaultx,/data-l/iraicu/tmp/,1,4,true,10,4,2771,1609,4378,5250.3394,22996486.56,22996.486560
2026-01-20T21:15:40+00:00,./vaultx,/data-l/iraicu/tmp/,1,8,false,10,4,2814,1566,4445,5387.4534,23597045.86,23597.045860
2026-01-20T21:16:34+00:00,./vaultx,/data-l/iraicu/tmp/,1,8,true,10,4,2784,1596,4404,5338.9539,23384618.09,23384.618090
2026-01-20T21:17:28+00:00,./vaultx,/data-l/iraicu/tmp/,1,16,false,10,4,2762,1618,4319,5438.7660,23821795.14,23821.795140
2026-01-20T21:18:21+00:00,./vaultx,/data-l/iraicu/tmp/,1,16,true,10,4,2786,1594,4417,5242.3496,22961491.05,22961.491050
2026-01-20T21:19:15+00:00,./vaultx,/data-l/iraicu/tmp/,1,128,false,10,4,2713,1667,4291,5416.5902,23724664.93,23724.664930
2026-01-20T21:20:08+00:00,./vaultx,/data-l/iraicu/tmp/,1,128,true,10,4,2765,1615,4366,5230.2525,22908505.75,22908.505750
2026-01-20T21:21:03+00:00,./vaultx,/data-l/iraicu/tmp/,2,1,false,10,4,2726,1654,4326,5487.6338,24035836.08,24035.836080
2026-01-20T21:21:50+00:00,./vaultx,/data-l/iraicu/tmp/,2,1,true,10,4,2767,1613,4353,4719.1612,20669926.25,20669.926250
