memory_gb,k,threads_compute,threads_io,file_size_gb,write_batch_mb,read_batch,storage_efficiency_pct,overall_io_throughput_mb_s,total_time_s,total_time_min,peak_memory_mb,total_throughput_mh_s
2,32,64,1,32.0,128,1,6896.50,550.58,542.173788,9.04,1411.35,7.92
3,32,64,1,32.0,512,1,2552.31,1106.59,333.030506,5.55,2200.31,12.90
5,32,64,1,32.0,1024,1,1413.02,1277.68,305.106325,5.09,4100.48,14.08
8,32,64,1,32.0,1024,1,753.46,1341.47,298.869335,4.98,6868.38,14.37
14,32,64,1,32.0,1024,1,390.98,1203.38,308.723798,5.15,13092.29,13.91
26,32,64,1,32.0,1024,1,198.90,1149.62,325.522817,5.43,25540.23,13.19
50,32,64,1,32.0,1024,1,99.94,743.70,194.422684,3.24,50436.25,22.09
