k,threads_compute,threads_io,file_size_gb,write_batch_mb,read_batch,storage_efficiency_pct,overall_io_throughput_mb_s,total_time_s,total_time_min,peak_memory_mb,total_throughput_mh_s
27,64,1,1.0,256,1,198.80,574.52,18.275847,0.30,2051.46,7.34
28,64,1,2.0,512,1,199.40,648.28,30.003177,0.50,2499.49,8.95
29,64,1,4.0,1024,1,199.16,677.66,53.548311,0.89,4099.50,10.03
30,64,1,8.0,1024,1,199.45,763.51,97.701305,1.63,7107.90,10.99
31,64,1,16.0,1024,1,199.42,804.95,187.678508,3.13,13252.04,11.44
32,64,1,32.0,1024,1,198.90,1095.71,331.283855,5.52,25540.26,12.96
