memory_gb,k,threads_compute,threads_io,file_size_gb,write_batch_mb,read_batch,storage_efficiency_pct,overall_io_throughput_mb_s,total_time_s,total_time_min,peak_memory_mb,total_throughput_mh_s
2,32,4,1,32.0,128,1,6896.75,334.38,2321.601752,38.69,1409.88,1.85
2.5,32,4,1,32.0,256,1,4367.67,403.83,2285.900298,38.10,2050.05,1.88
3,32,4,1,32.0,512,1,2552.30,411.08,2358.834948,39.31,2197.93,1.82
5,32,4,1,32.0,1024,1,1413.00,415.75,2424.720422,40.41,4098.02,1.77
7,32,4,1,32.0,1024,1,1413.01,416.12,2428.823954,40.48,4097.91,1.77
