memory_gb,k,threads_compute,threads_io,file_size_gb,write_batch_mb,read_batch,storage_efficiency_pct,overall_io_throughput_mb_s,total_time_s,total_time_min,peak_memory_mb,total_throughput_mh_s
2,32,4,1,32.0,128,1,6896.73,214.31,2516.673655,41.94,1410.00,1.71
2.5,32,4,1,32.0,256,1,4367.57,306.96,2344.379640,39.07,2050.03,1.83
3,32,4,1,32.0,512,1,2552.32,313.40,2412.108573,40.20,2198.08,1.78
5,32,4,1,32.0,1024,1,1413.00,271.58,2556.236935,42.60,4097.91,1.68
8,32,4,1,32.0,1024,1,753.46.01,250.89,2723.64,45.39,6866.09,1.59
