sweep_mode,target,k_value,file_count,file_size_bytes,t,r,keep_open,difficulty,previous_search,lookups,found,not_found,matches,open_close_ms,seek_ms,read_ms,hash_ms,avg_ms_per_lookup,avg_ms_per_lookup_per_file,total_ms,total_s,peak_memory_mb
r,/data-m/sfatunmbi/plots/merge_32_450.plot,32,1,15461882281800,1,1,false,3,false,10,10,0,1151399,3.0107,0.0009,27.9698,37.5463,68.5277,68.5277,685.2770,0.685277,6.22
r,/data-m/sfatunmbi/plots/merge_32_450.plot,32,1,15461882281800,1,2,false,3,false,10,10,0,1151299,0.1126,0.0007,25.4524,37.1533,62.7191,62.7191,627.1906,0.627191,6.57
r,/data-m/sfatunmbi/plots/merge_32_450.plot,32,1,15461882281800,1,4,false,3,false,10,10,0,1151312,0.1150,0.0008,21.6996,35.5925,57.4080,57.4080,574.0797,0.574080,6.48
r,/data-m/sfatunmbi/plots/merge_32_450.plot,32,1,15461882281800,1,8,false,3,false,10,10,0,1151312,0.1347,0.0010,18.0140,31.0369,49.1867,49.1867,491.8667,0.491867,6.72
r,/data-m/sfatunmbi/plots/merge_32_450.plot,32,1,15461882281800,1,16,false,3,false,10,10,0,1151403,0.1826,0.0014,29.0044,21.6342,50.8226,50.8226,508.2263,0.508226,6.32
r,/data-m/sfatunmbi/plots/merge_32_450.plot,32,1,15461882281800,1,64,false,3,false,10,10,0,1151321,0.2102,0.0015,26.4627,26.8474,53.5218,53.5218,535.2176,0.535218,7.21
