k,threads_compute,threads_io,file_size_gb,write_batch_mb,read_batch,storage_efficiency_pct,overall_io_throughput_mb_s,total_time_s,total_time_min,peak_memory_mb,total_throughput_mh_s
27,16,1,1.0,128,1,373.16,635.69,27.077168,0.45,1409.14,4.96
28,16,1,2.0,256,1,385.21,753.46,48.388227,0.81,1568.52,5.55
29,16,1,4.0,512,1,386.24,975.34,85.819095,1.43,2337.09,6.26
30,16,1,8.0,1024,1,391.05,1147.01,161.798896,2.70,4096.87,6.64
31,16,1,16.0,1024,1,392.41,1194.56,317.230586,5.29,8192.50,6.77
32,16,1,32.0,1024,1,390.98,1053.17,645.956854,10.77,16384.26,6.65
