varying_threads,k,threads_compute,threads_io,file_size_gb,write_batch_mb,read_batch,storage_efficiency_pct,overall_io_throughput_mb_s,total_time_s,total_time_min,peak_memory_mb,total_throughput_mh_s
1,32,1,1,32.0,1024,1,198.90,421.17,5583.318696,93.06,25538.39,0.77
2,32,2,1,32.0,1024,1,198.90,990.07,2861.225794,47.69,25538.36,1.50
4,32,4,1,32.0,1024,1,198.90,1009.03,1622.280575,27.04,25537.85,2.65
8,32,8,1,32.0,1024,1,198.90,1010.32,964.615757,16.08,25537.62,4.45
16,32,16,1,32.0,1024,1,198.90,1002.47,671.317326,11.19,25536.80,6.40
