memory_gb,k,threads_compute,threads_io,file_size_gb,write_batch_mb,read_batch,storage_efficiency_pct,overall_io_throughput_mb_s,total_time_s,total_time_min,peak_memory_mb,total_throughput_mh_s
2,32,16,1,32.0,128,1,6896.57,723.90,743.976090,12.40,16383.95,5.77
4,32,16,1,32.0,512,1,2552.33,1013.57,644.492495,10.74,16384.59,6.66
8,32,16,1,32.0,1024,1,753.45,1087.44,632.388634,10.54,16384.12,6.79
16,32,16,1,32.0,1024,1,390.98,1037.13,648.524499,10.81,16384.41,6.62
24,32,16,1,32.0,1024,1,390.99,1062.90,645.189375,10.75,16384.52,6.66
29,32,16,1,32.0,1024,1,198.90,1006.56,670.568661,11.18,25537.01,6.40
